[00:00.000 --> 00:04.000]  Komfortowa temperatura dla Ciebie.
[53:43.360 --> 53:47.840]  Pirogi, no I will show you because of course, a lot of cabbage.
[53:50.760 --> 53:51.760]  Pirogi.
[53:51.760 --> 54:00.360]  To pierogi ser, twaróg, cebula, ziemniaki, pieprz, sól.
[54:00.360 --> 54:03.360]  I to jest miks, bardzo popularne pierogi.
[54:03.360 --> 54:04.360]  To jest wegetariańskie?
[54:04.360 --> 54:06.360]  Tak, to jest wegetariańskie.
[54:06.360 --> 54:07.360]  Tak, no.
[54:07.360 --> 54:11.360]  Jajecznica? Co to jest jajecznica?
[54:11.360 --> 54:12.360]  Nie wiem.
[54:12.360 --> 54:14.360]  To są jajko.
[54:14.360 --> 54:15.360]  Skrębłek.
[54:15.360 --> 54:16.360]  Aha, no.
[54:16.360 --> 54:19.360]  Jajecznica, jajecznica.
[54:19.360 --> 54:21.360]  Lubicie jajecznice?
[54:21.360 --> 54:22.360]  Tak.
[54:22.360 --> 54:23.360]  Tak.
[54:23.360 --> 54:24.360]  A szakczukę?
[54:24.360 --> 54:25.360]  O, tak.
[54:25.360 --> 54:27.360]  Rzecz też.
[54:27.360 --> 54:29.360]  Szakczuka teraz popularna w Polsce.
[54:29.360 --> 54:30.360]  Tak, tak.
[54:30.360 --> 54:32.360]  Przepraszam, a proszę powtórzyć?
[54:32.360 --> 54:34.360]  Szakczuka, szakczuka.
[54:34.360 --> 54:36.360]  It's not Polish, it's not come from Poland.
[54:36.360 --> 54:37.360]  Turkey.
[54:37.360 --> 54:39.360]  Turkey and Morocco.
[54:39.360 --> 54:41.360]  Maroko, tak.
[54:41.360 --> 54:44.360]  Szakczuka, szakczuka.
[54:44.360 --> 54:51.360]  To jest jajko, z pomidorami, trochę zielonego elementu, pieprz, sól.
[54:51.360 --> 54:54.360]  Dobre, całkiem dobre.
[54:54.360 --> 54:55.360]  Przepraszam.
[54:55.360 --> 54:58.360]  Jak mówi omlet po polsku?
[54:58.360 --> 54:59.360]  Oblet.
[54:59.360 --> 55:00.360]  Omlet.
[55:00.360 --> 55:04.360]  Ale to dobre pytanie, to świetne pytanie, Joshi.
[55:04.360 --> 55:07.360]  Omlet to omlet, klasycznie, tak?
[55:07.360 --> 55:08.360]  Ok.
[55:08.360 --> 55:09.360]  Tak, omlet.
[55:09.360 --> 55:11.360]  Angolszowie to prąd.
[55:11.360 --> 55:14.360]  Ok, ok, ok.
[55:14.360 --> 55:15.360]  Ok, ok.
[55:15.360 --> 55:16.360]  Ok, ok.
[55:16.360 --> 55:17.360]  Omlet, tak?
[55:17.360 --> 55:18.360]  Ok, cool.
[55:18.360 --> 55:19.360]  Tak?
[55:19.360 --> 55:21.360]  I bogaty omlet, tak?
[55:21.360 --> 55:22.360]  Dużo, dużo.
[55:22.360 --> 55:23.360]  I jaki mówi...
[55:23.360 --> 55:26.360]  I have not tried it yet.
[55:26.360 --> 55:29.360]  O, warto, dobra.
[55:29.360 --> 55:33.360]  Nigdy nie próbowałem, tak?
[55:33.360 --> 55:38.360]  Or you can say jeszcze nie próbowałem, tak?
[55:38.360 --> 55:39.360]  Options.
[55:39.360 --> 55:42.360]  Jeszcze, you didn't try it yet.
[55:42.360 --> 55:45.360]  Jeszcze nie próbowałem.
[55:45.360 --> 55:47.360]  This is nigdy like never.
[55:47.360 --> 55:48.360]  Tak?
[55:48.360 --> 55:49.360]  This is like yet.
[55:49.360 --> 55:50.360]  Jeszcze, jeszcze nie próbowałem.
[55:50.360 --> 55:51.360]  What is like the base verb of próbowałem?
[55:51.360 --> 55:52.360]  Próbować.
[55:52.360 --> 55:53.360]  Próbować.
[55:53.360 --> 55:54.360]  Próbować.
[55:54.360 --> 55:55.360]  To try.
[55:55.360 --> 55:56.360]  To try.
[55:56.360 --> 55:57.360]  Exactly, to try.
[55:57.360 --> 55:58.360]  Tak.
[55:58.360 --> 55:59.360]  Może być też opcja chcę próbować.
[55:59.360 --> 56:00.360]  I want to try.
[56:00.360 --> 56:01.360]  Tak?
[56:01.360 --> 56:02.360]  Chcę próbować.
[56:02.360 --> 56:03.360]  To try.
[56:03.360 --> 56:04.360]  To try.
[56:04.360 --> 56:05.360]  To try.
[56:05.360 --> 56:06.360]  To try.
[56:06.360 --> 56:07.360]  To try.
[56:07.360 --> 56:08.360]  To try.
[56:08.360 --> 56:09.360]  To try.
[56:09.360 --> 56:10.360]  To try.
[56:10.360 --> 56:11.360]  To try.
[56:11.360 --> 56:12.360]  To try.
[56:12.360 --> 56:13.360]  To try.
[56:13.360 --> 56:14.360]  To try.
[56:14.360 --> 56:15.360]  To try.
[56:15.360 --> 56:16.360]  To try.
[56:16.360 --> 56:17.360]  To try.
[56:17.360 --> 56:18.360]  To try.
[56:18.360 --> 56:19.360]  To try.
[56:19.360 --> 56:20.360]  To try.
[56:20.360 --> 56:21.360]  Tak?
[56:21.360 --> 56:22.360]  Typical past tense?
[56:22.360 --> 56:23.360]  Nie próbowałem.
[56:23.360 --> 56:24.360]  But just important comment.
[56:24.360 --> 56:25.360]  Our Polish past tense working like that that we using ending depends on the gender.
[56:25.360 --> 56:26.360]  So when it's referring for example to human.
[56:26.360 --> 56:27.360]  Yeah?
[56:27.360 --> 56:28.360]  But if lady would like to say I didn't try it, will be m'y.
[56:28.360 --> 56:29.360]  Mój wnioskowski jest na kolej unique, zbędny i zbędny, to ony.
[56:29.360 --> 56:30.360]  I'm sorry.
[56:30.360 --> 56:31.360]  Mój wnioskowski jest na kolej unique, zbędny i zbędny.
[56:31.360 --> 56:32.360]  So I'm sorry.
[56:32.360 --> 56:33.360]  Mój wnioskowski jest na kolej unique, zbędny.
[56:33.360 --> 56:34.360]  I'm sorry.
[56:34.360 --> 56:35.360]  I'm sorry.
[56:36.360 --> 56:37.360]  Mój wnioskowski jest na kolej unique, zbędny i zbędny.
[56:37.360 --> 56:38.360]  I'm sorry.
[56:39.360 --> 56:40.360]  I'm sorry.
[56:40.360 --> 56:42.360]  To jest na przykład odmiany do hymena.
[56:42.360 --> 56:49.360]  Ale jeśli kobieta chciałaby powiedzieć, że nie próbowała, to będzie one.
[56:49.360 --> 56:54.360]  Więc zmieniamy to do jednego księgowego różnika.
[56:54.360 --> 57:01.360]  One. Nie próbowałem. Nie próbowałam.
[57:01.360 --> 57:04.360]  One typyczne dla kobiet.
[57:04.360 --> 57:05.360]  One.
[57:05.360 --> 57:06.360]  One.
[57:06.360 --> 57:11.360]  One.
[57:11.360 --> 57:19.360]  I tu mamy męski, one, żeński.
[57:19.360 --> 57:23.360]  Ja mężczyzna, ja kobieta.
[57:23.360 --> 57:26.360]  W porządku?
[57:26.360 --> 57:28.360]  Identycznie.
[57:28.360 --> 57:34.360]  You can see analogy. Of course we will do this just simple example.
[57:34.360 --> 57:36.360]  Robiłam.
[57:36.360 --> 57:38.360]  Robiłem.
[57:38.360 --> 57:41.360]  Co to znaczy? Robić? To do?
[57:41.360 --> 57:42.360]  To do?
[57:42.360 --> 57:45.360]  Tak, a to im pas. Robiłem. Robiłam.
[57:45.360 --> 57:50.360]  Pracowałam. Pracowałem.
[57:50.360 --> 57:51.360]  I worked.
[57:51.360 --> 57:52.360]  I worked.
[57:52.360 --> 57:55.360]  So we will see what kind of just what we will do.
[57:55.360 --> 58:00.360]  It will be copy and paste the same regular forms and things.
[58:00.360 --> 58:04.360]  Don't worry, future tense will be really simple.
[58:04.360 --> 58:05.360]  Comparing with it.
[58:06.360 --> 58:11.360]  Because future it's like co lubisz robić? Lubię biegać, lubię śpiewać.
[58:11.360 --> 58:14.360]  So you are going to be and infinity was born.
[58:14.360 --> 58:16.360]  And just this.
[58:16.360 --> 58:18.360]  But we will do.
[58:18.360 --> 58:20.360]  No to.
[58:20.360 --> 58:22.360]  I because. You ask me what is because.
[58:22.360 --> 58:24.360]  Somebody heard? Because?
[58:24.360 --> 58:25.360]  Zupa.
[58:25.360 --> 58:26.360]  Co to? Taka zupa.
[58:26.360 --> 58:27.360]  To jest zupa.
[58:27.360 --> 58:28.360]  Tak.
[58:28.360 --> 58:29.360]  No.
[58:29.360 --> 58:32.360]  Because.
[58:32.360 --> 58:34.360]  To jest bardzo popularne.
[58:34.360 --> 58:37.360]  Co tutaj jest?
[58:37.360 --> 58:43.360]  Mamy 80%, tak? Kapusta. Tak?
[58:43.360 --> 58:46.360]  Ja tu grażę. 80%.
[58:46.360 --> 58:51.360]  O przepraszam. 70. 20% kiełbasa. Tak?
[58:51.360 --> 58:57.360]  I 10% opcja grzyby. Na przykład grzyby?
[58:57.360 --> 58:58.360]  Maśmaż, kruz?
[58:58.360 --> 58:59.360]  Maśmaż, kruz. Może być.
[58:59.360 --> 59:03.360]  Pieprz, sól, przyprawa, perps. Tak?
[59:03.360 --> 59:08.360]  I jest wszystko bardzo popularne.
[59:08.360 --> 59:17.360]  I kiedy jesteś chory, kiedy nie masz komfortu, to jest dobra metoda.
[59:17.360 --> 59:20.360]  Tak jak rosół, like chicken soup.
[59:20.360 --> 59:24.360]  We eating this when we are not feeling good, when something happened.
[59:24.360 --> 59:28.360]  We thinking that, oh this is like really rich, rich soup.
[59:28.360 --> 59:31.360]  Helping with our feeling.
[59:31.360 --> 59:32.360]  Because.
[59:32.360 --> 59:34.360]  Because. Because.
[59:34.360 --> 59:39.360]  Często praktyka z chlebem. Jemy z chlebem. Tak?
[59:39.360 --> 59:44.360]  Because plus chleb. Dobra kompozycja.
[59:44.360 --> 59:46.360]  Is it made of sour?
[59:46.360 --> 59:51.360]  Tak. To jest kwaśne. Może być czasem dużo pieprzu.
[59:51.360 --> 59:58.360]  Kwaśne i trochę może nie spicy, ale takie, no dużo pieprzu.
[59:58.360 --> 59:59.360]  No.
[59:59.360 --> 01:00:00.360]  Tak. Tak. Tak.
[01:00:00.360 --> 01:00:06.360]  So normally you buy the cabbage, cabbage, say, kwiat, kwiat, sour cabbage?
[01:00:06.360 --> 01:00:13.360]  Tak. Polska kapusta, Polish cabbage will be really sour.
[01:00:13.360 --> 01:00:15.360]  Like the one that's fermented?
[01:00:15.360 --> 01:00:17.360]  Fermentowana, tak.
[01:00:17.360 --> 01:00:19.360]  So you go to the store and buy that and then you make it?
[01:00:19.360 --> 01:00:26.360]  Tak. We saying if you need like that, you can buy kapusta and of course doing this, kiszona.
[01:00:26.360 --> 01:00:27.360]  Kiszona.
[01:00:27.360 --> 01:00:28.360]  Kapusta kiszona.
[01:00:28.360 --> 01:00:29.360]  Got it.
[01:00:29.360 --> 01:00:30.360]  I pakiet, tak.
[01:00:30.360 --> 01:00:34.360]  Tak. I jest bigos, tak.
[01:00:34.360 --> 01:00:39.360]  Polski bigos naprawdę sour, kwaśne. Kwaśne, bardzo.
[01:00:39.360 --> 01:00:40.360]  Kwaśne.
[01:00:40.360 --> 01:00:45.360]  No to jest typowe. Kapusta kiszona.
[01:00:45.360 --> 01:00:46.360]  Może tutaj?
[01:00:46.360 --> 01:00:47.360]  Tak.
[01:00:47.360 --> 01:00:53.360]  No dobrze. To decydujemy. Leśniki, bigos, kroki, jajko, jajecznica?
[01:00:53.360 --> 01:00:54.360]  Bigos?
[01:00:54.360 --> 01:00:55.360]  Bigos.
[01:00:55.360 --> 01:00:57.360]  No leśnika, to żywa.
[01:00:57.360 --> 01:00:58.360]  Bigos zupa?
[01:00:58.360 --> 01:01:01.360]  Tak. To jest dobra reakcja.
[01:01:01.360 --> 01:01:04.360]  Here we can have few answers.
[01:01:04.360 --> 01:01:07.360]  Depends on how we will analyze that.
[01:01:07.360 --> 01:01:09.360]  Naleśniki to słodkie.
[01:01:09.360 --> 01:01:13.360]  Naleśniki słodkie, tak. To też jest dobra strategia.
[01:01:13.360 --> 01:01:20.360]  I what about, what do you think, what we eat for example like dinner?
[01:01:20.360 --> 01:01:24.360]  What will be for supper? Śniadanie, kolacja?
[01:01:24.360 --> 01:01:26.360]  Jajecznice, śniadanie.
[01:01:26.360 --> 01:01:28.360]  Śniadanie?
[01:01:28.360 --> 01:01:29.360]  Tak.
[01:01:29.360 --> 01:01:30.360]  Jajeczne.
[01:01:30.360 --> 01:01:32.360]  Naleśnice i śniadanie?
[01:01:32.360 --> 01:01:33.360]  Oj zna.
[01:01:33.360 --> 01:01:40.360]  Dla Polaków nie. Typowy Polak naleśniki, nie śniadanie. Obiad.
[01:01:40.360 --> 01:01:41.360]  Obiad.
[01:01:41.360 --> 01:01:42.360]  Obiad.
[01:01:42.360 --> 01:01:50.360]  Na przykład kultura ukraińska, naleśniki, śniadanie, ok. Typowy Polak nie.
[01:01:50.360 --> 01:01:51.360]  Nie obiad, ok.
[01:01:51.360 --> 01:01:52.360]  Nie, tak.
[01:01:52.360 --> 01:01:54.360]  Pierogi, obiad?
[01:01:54.360 --> 01:01:55.360]  Tak. Pierogi, obiad.
[01:01:55.360 --> 01:01:58.360]  Pierogi, obiad i bigos też obiad.
[01:01:58.360 --> 01:02:02.360]  Też obiad, też może być. Tak mamy trzy opcje, super.
[01:02:02.360 --> 01:02:05.360]  No dobra, teraz coś takie.
[01:02:05.360 --> 01:02:08.360]  Kapusta.
[01:02:08.360 --> 01:02:09.360]  Kapusta.
[01:02:09.360 --> 01:02:10.360]  Kapusta.
[01:02:10.360 --> 01:02:12.360]  Nie, nie jest.
[01:02:12.360 --> 01:02:14.360]  Niemięso, świetnie nazywa.
[01:02:14.360 --> 01:02:15.360]  Niemięso.
[01:02:15.360 --> 01:02:20.360]  Bardzo dobrze, niemięso. Wieprzowina, wołowina, kurczak, kapusta.
[01:02:20.360 --> 01:02:23.360]  Wieprzowina jest pork?
[01:02:23.360 --> 01:02:24.360]  Pork, tak.
[01:02:24.360 --> 01:02:26.360]  I wina.
[01:02:26.360 --> 01:02:27.360]  I wina.
[01:02:27.360 --> 01:02:28.360]  I wina.
[01:02:28.360 --> 01:02:29.360]  I wina.
[01:02:29.360 --> 01:02:30.360]  I wina.
[01:02:30.360 --> 01:02:31.360]  I wołowina.
[01:02:31.360 --> 01:02:32.360]  I wołowina.
[01:02:32.360 --> 01:02:33.360]  Wołowina.
[01:02:33.360 --> 01:02:34.360]  Jak wif.
[01:02:34.360 --> 01:02:35.360]  Wif.
[01:02:35.360 --> 01:02:36.360]  Tak, i kurczak.
[01:02:36.360 --> 01:02:37.360]  Tak.
[01:02:37.360 --> 01:02:38.360]  Tak.
[01:02:38.360 --> 01:02:39.360]  Tak.
[01:02:39.360 --> 01:02:40.360]  No dobrze, teraz już takie.
[01:02:40.360 --> 01:02:41.360]  Łody.
[01:02:41.360 --> 01:02:42.360]  Łody.
[01:02:42.360 --> 01:02:43.360]  Nie, to jest, przepraszam, żurek.
[01:02:43.360 --> 01:02:44.360]  Lody.
[01:02:44.360 --> 01:02:45.360]  Lody.
[01:02:45.360 --> 01:02:46.360]  Nie zupa.
[01:02:46.360 --> 01:02:47.360]  Nie zupa.
[01:02:47.360 --> 01:02:48.360]  A co to lody?
[01:02:48.360 --> 01:02:49.360]  Lody jest słodkie.
[01:02:49.360 --> 01:02:50.360]  Lody są słodkie.
[01:02:50.360 --> 01:02:51.360]  Good lód?
[01:02:51.360 --> 01:02:52.360]  Lubicie good lód?
[01:02:52.360 --> 01:02:53.360]  Lubię.
[01:02:53.360 --> 01:02:56.360]  Tak, mamy lody, tak.
[01:02:56.360 --> 01:03:00.360]  A co to jest żurek?
[01:03:00.360 --> 01:03:02.360]  Żurek jest zupa...
[01:03:02.360 --> 01:03:04.360]  Tak, a jaka?
[01:03:04.360 --> 01:03:06.360]  ...eat food?
[01:03:06.360 --> 01:03:11.360]  No, to jest taka tradycyjna zupa, kiedy jest Easter time, tak?
[01:03:11.360 --> 01:03:12.360]  Aha.
[01:03:12.360 --> 01:03:15.360]  I to jest żurek.
[01:03:15.360 --> 01:03:16.360]  Jajko.
[01:03:16.360 --> 01:03:19.360]  Tak, jest typowo, typowo jajko, tak?
[01:03:19.360 --> 01:03:21.360]  Jest kiełbasa.
[01:03:21.360 --> 01:03:28.360]  I no, to jest kiedy jest wielka łańcucha, Easter time.
[01:03:28.360 --> 01:03:30.360]  No, to jest, kiedy jest Easter time, kiedy jest wielka łańcucha, kiedy jest świątka świątka.
[01:03:30.360 --> 01:03:34.360]  Szczególnie na świątkę świątkę, nawet jeśli to jest zupa.
[01:03:34.360 --> 01:03:37.360]  Mamy tak, wieś, świątkę świątkę.
[01:03:37.360 --> 01:03:44.360]  I czerwimy z rodziną i jedzemy, dzielimy jajko i dajemy się z nimi życzenia.
[01:03:44.360 --> 01:03:48.360]  Taka tradycyjna, tradycyjna żurek.
[01:03:48.360 --> 01:03:51.360]  Miałem na myśli, że to jest barszcz, czy borszcz.
[01:03:51.360 --> 01:03:56.360]  To też jest pozytywna reakcja. Dlaczego?
[01:03:56.360 --> 01:04:03.360]  Region Kraków, Małopolska, bardzo typowo nazywa się, we call it żurek.
[01:04:03.360 --> 01:04:09.360]  Ale, but, some regions saying that this is barszcz biały.
[01:04:09.360 --> 01:04:10.360]  Aha.
[01:04:10.360 --> 01:04:13.360]  So, is it really correct, some regions from Poland saying that?
[01:04:13.360 --> 01:04:14.360]  No.
[01:04:14.360 --> 01:04:17.360]  It kind of makes it, because it kind of looks like borszcz biały.
[01:04:17.360 --> 01:04:20.360]  Tak, barszcz biały, to może być.
[01:04:21.360 --> 01:04:24.360]  To też jest taka opcja, to synonim.
[01:04:24.360 --> 01:04:27.360]  Region Polski decyduje.
[01:04:27.360 --> 01:04:31.360]  Małopolska, bardzo typowo żurek.
[01:04:31.360 --> 01:04:34.360]  And in Poland, is it called barszcz or borszcz?
[01:04:34.360 --> 01:04:37.360]  Barszcz, barszcz, barszcz, tak.
[01:04:37.360 --> 01:04:40.360]  Super.
[01:04:40.360 --> 01:04:42.360]  No dobra.
[01:04:42.360 --> 01:04:47.360]  No i tutaj jest rosół. Lubicie rosół?
[01:04:47.360 --> 01:04:49.360]  Chicken soup.
[01:04:49.360 --> 01:04:53.360]  No dobra. No i barszcz. Elwinujemy.
[01:04:53.360 --> 01:04:54.360]  Dobre.
[01:04:54.360 --> 01:04:57.360]  No dobra. I mamy osiem.
[01:05:01.360 --> 01:05:03.360]  Błuszki.
[01:05:03.360 --> 01:05:04.360]  Ogórki.
[01:05:04.360 --> 01:05:05.360]  Persa.
[01:05:05.360 --> 01:05:06.360]  Persa.
[01:05:06.360 --> 01:05:07.360]  Tak.
[01:05:07.360 --> 01:05:12.360]  I ogórki. Ogórki, warzywa.
[01:05:12.360 --> 01:05:14.360]  Tak, warzywa, totalnie.
[01:05:14.360 --> 01:05:17.360]  A jabłka, błuszki, winogrona, mamy owoce.
[01:05:17.360 --> 01:05:18.360]  Owoce.
[01:05:18.360 --> 01:05:23.360]  Tak, super, bardzo dobrze.
[01:05:23.360 --> 01:05:26.360]  No a gdzie tu dużo owoce?
[01:05:26.360 --> 01:05:28.360]  Są ziemniaki.
[01:05:28.360 --> 01:05:29.360]  Potato.
[01:05:29.360 --> 01:05:31.360]  Sernik.
[01:05:31.360 --> 01:05:32.360]  Cheesecake.
[01:05:32.360 --> 01:05:36.360]  Cheesecake, a to jest cheesecake, sernik, dużo sera.
[01:05:36.360 --> 01:05:39.360]  Co to jest? Szablotka.
[01:05:39.360 --> 01:05:40.360]  Szablotka.
[01:05:40.360 --> 01:05:42.360]  Czorogę z lodymi.
[01:05:42.360 --> 01:05:43.360]  Apropa.
[01:05:43.360 --> 01:05:44.360]  Apropa, tak.
[01:05:44.360 --> 01:05:45.360]  Z lodami?
[01:05:45.360 --> 01:05:47.360]  Z lodami, with something.
[01:05:47.360 --> 01:05:48.360]  With ice cream.
[01:05:48.360 --> 01:05:53.360]  With ice cream, tak. Szablotka z lodami.
[01:05:53.360 --> 01:05:56.360]  Szablotka.
[01:05:56.360 --> 01:05:58.360]  Ziemniaki.
[01:05:58.360 --> 01:06:02.360]  No i ziemniaki eliminujemy, a budyń waniliowy?
[01:06:02.360 --> 01:06:03.360]  Pudding?
[01:06:03.360 --> 01:06:11.360]  Dobrze, dobrze, tak. Budyń waniliowy to jest polska nazwa pudingu, pudding, budyń.
[01:06:11.360 --> 01:06:15.360]  Budyń waniliowy, tak.
[01:06:17.360 --> 01:06:27.360]  O, też popularne w sklepach, taki miks ekspresowy, tak. O, też jest jakiś proteinowy budyń, tak.
[01:06:27.360 --> 01:06:33.360]  Tak, drugi, pudding. Taki typowy, typowy pudding.
[01:06:33.360 --> 01:06:35.360]  O, byda.
[01:06:35.360 --> 01:06:40.360]  Tak, super, no dobra.
[01:06:40.360 --> 01:06:43.360]  Czyli ziemniaki, tak.
[01:06:43.360 --> 01:06:47.360]  Czy macie preferencje w Polsce sernik czy żarny?
[01:06:47.360 --> 01:06:48.360]  Szablotka.
[01:06:48.360 --> 01:06:49.360]  Szablotka.
[01:06:49.360 --> 01:06:51.360]  Szablotka, dalej szablotka.
[01:06:51.360 --> 01:06:52.360]  Sernik.
[01:06:52.360 --> 01:06:53.360]  Sernik, o.
[01:06:53.360 --> 01:06:54.360]  Jak to się mówi?
[01:06:54.360 --> 01:06:57.360]  Obydwa, obydwa, tak.
[01:06:57.360 --> 01:06:58.360]  Obydwa.
[01:06:58.360 --> 01:07:04.360]  Or another way, really common, you can say this and this, it could be like i to i to.
[01:07:04.360 --> 01:07:05.360]  I to i to.
[01:07:05.360 --> 01:07:06.360]  I to i to.
[01:07:06.360 --> 01:07:07.360]  I to i to.
[01:07:07.360 --> 01:07:08.360]  Tak, both.
[01:07:08.360 --> 01:07:10.360]  And how do you say neither?
[01:07:10.360 --> 01:07:15.360]  Też, to jest jak neither.
[01:07:15.360 --> 01:07:16.360]  Neither is a...
[01:07:16.360 --> 01:07:17.360]  I to jest jak a...
[01:07:17.360 --> 01:07:18.360]  Nigde nie, nigdy.
[01:07:18.360 --> 01:07:19.360]  Nigde is never, never do.
[01:07:19.360 --> 01:07:20.360]  O, nie trochę, nie trochę.
[01:07:20.360 --> 01:07:21.360]  That we do, I will check, sometimes I...
[01:07:21.360 --> 01:07:22.360]  O, jadę.
[01:07:22.360 --> 01:07:23.360]  Jadę.
[01:07:23.360 --> 01:07:24.360]  Jadę.
[01:07:24.360 --> 01:07:25.360]  Można powiedzieć też ani jeden, tak.
[01:07:25.360 --> 01:07:26.360]  Ani jeden.
[01:07:26.360 --> 01:07:27.360]  O, this is like neither.
[01:07:27.360 --> 01:07:28.360]  Tak.
[01:07:28.360 --> 01:07:29.360]  No, to jest jak nigdy nie.
[01:07:29.360 --> 01:07:30.360]  Nigdy nie.
[01:07:30.360 --> 01:07:31.360]  No, to jest tak, nigdy nie.
[01:07:31.360 --> 01:07:32.360]  Nigdy nie.
[01:07:32.360 --> 01:07:33.360]  O, nigdy nie.
[01:07:33.360 --> 01:07:34.360]  Bo, to jest tak.
[01:07:34.360 --> 01:07:35.360]  O, czyli, to jest tak, nigdy nie.
[01:07:35.360 --> 01:07:36.360]  Tak, nigdy nie.
[01:07:36.360 --> 01:07:37.360]  A, nigdy nie.
[01:07:37.360 --> 01:07:38.360]  O, nigdy nie.
[01:07:38.360 --> 01:07:39.360]  O, nigdy nie.
[01:07:39.360 --> 01:07:40.360]  O, nigdy nie.
[01:07:40.360 --> 01:07:41.360]  O, nigdy nie.
[01:07:41.360 --> 01:07:42.360]  O, nigdy nie.
[01:07:42.360 --> 01:07:44.360]  Ani jeden.
[01:07:44.360 --> 01:07:46.360]  To jest jak...
[01:07:46.360 --> 01:07:48.360]  Ani jeden.
[01:07:48.360 --> 01:07:50.360]  To jest ani? Coś?
[01:07:50.360 --> 01:07:54.360]  Ani to jest tylko współpracujące.
[01:07:54.360 --> 01:07:56.360]  Jeśli się rozwiążemy, nie ma znaczenia.
[01:07:56.360 --> 01:07:58.360]  Nie ma takiego znaczenia.
[01:07:58.360 --> 01:08:00.360]  Po polsku. Ani jeden.
[01:08:00.360 --> 01:08:02.360]  Bo jeśli się rozwiążesz,
[01:08:02.360 --> 01:08:04.360]  jeden, to wiesz co to jest jeden.
[01:08:04.360 --> 01:08:06.360]  Ale zmienia się w kompletnym znaczeniu.
[01:08:06.360 --> 01:08:08.360]  Ani jeden.
[01:08:08.360 --> 01:08:10.360]  Mhm.
[01:08:10.360 --> 01:08:12.360]  No dobrze.
[01:08:12.360 --> 01:08:14.360]  No to mamy i to i to. Żaden.
[01:08:14.360 --> 01:08:18.360]  I finalna, finalna pozycja.
[01:08:18.360 --> 01:08:20.360]  O! Tu coś takiego.
[01:08:20.360 --> 01:08:22.360]  Mleko.
[01:08:22.360 --> 01:08:24.360]  Mleko. Tak.
[01:08:24.360 --> 01:08:26.360]  Mleko plus kielbasa.
[01:08:26.360 --> 01:08:28.360]  Ryzyko.
[01:08:28.360 --> 01:08:30.360]  Tak, jest ryzykowna.
[01:08:30.360 --> 01:08:32.360]  Tak, skomplikowane.
[01:08:32.360 --> 01:08:34.360]  To jest skomplikowane.
[01:08:34.360 --> 01:08:36.360]  No dobrze. W porządku?
[01:08:36.360 --> 01:08:38.360]  Jak się macie? Jest ok?
[01:08:38.360 --> 01:08:40.360]  Dobrze.
[01:08:40.360 --> 01:08:42.360]  No dobra.
[01:08:42.360 --> 01:08:44.360]  No to mam grę.
[01:08:44.360 --> 01:08:46.360]  I to jest gra.
[01:08:46.360 --> 01:08:48.360]  Indywidualnie.
[01:08:48.360 --> 01:08:50.360]  Testujemy.
[01:08:50.360 --> 01:08:52.360]  I will show you what you are.
[01:08:52.360 --> 01:08:54.360]  And you can try.
[01:08:54.360 --> 01:08:56.360]  What we should to do here.
[01:08:56.360 --> 01:08:58.360]  Oh, I'm sorry.
[01:08:58.360 --> 01:09:00.360]  I will give you instruction.
[01:09:00.360 --> 01:09:02.360]  We have some names of products.
[01:09:02.360 --> 01:09:04.360]  And we just picking
[01:09:04.360 --> 01:09:06.360]  with the best
[01:09:06.360 --> 01:09:08.360]  options.
[01:09:08.360 --> 01:09:10.360]  No, Maran.
[01:09:10.360 --> 01:09:12.360]  Nie wiem co to jest.
[01:09:12.360 --> 01:09:14.360]  No, co to jest.
[01:09:14.360 --> 01:09:16.360]  Co to jest?
[01:09:16.360 --> 01:09:18.360]  Co to jest?
[01:09:18.360 --> 01:09:20.360]  Co to jest?
[01:09:20.360 --> 01:09:22.360]  Co to jest?
[01:09:22.360 --> 01:09:24.360]  Co to jest?
[01:09:24.360 --> 01:09:26.360]  Co to jest?
[01:09:26.360 --> 01:09:28.360]  Co to jest?
[01:09:28.360 --> 01:09:30.360]  Co to jest?
[01:09:30.360 --> 01:09:32.360]  Wi-Fi password?
[01:09:32.360 --> 01:09:34.360]  O! Hasło.
[01:09:34.360 --> 01:09:36.360]  Hasło.
[01:09:36.360 --> 01:09:38.360]  Jakie jest hasło?
[01:09:38.360 --> 01:09:40.360]  Tak.
[01:09:40.360 --> 01:09:42.360]  Tak.
[01:09:42.360 --> 01:09:44.360]  Ta klasa,
[01:09:44.360 --> 01:09:46.360]  to jest Tatry.
[01:09:46.360 --> 01:09:48.360]  Tatry
[01:09:48.360 --> 01:09:50.360]  mają bardzo dobre wi-fi.
[01:09:50.360 --> 01:09:52.360]  I heard from ladies
[01:09:52.360 --> 01:09:54.360]  from office that this is the best.
[01:09:54.360 --> 01:09:56.360]  Oh, ok.
[01:09:56.360 --> 01:09:58.360]  How many classes are there?
[01:09:58.360 --> 01:10:00.360]  Is it just two?
[01:10:00.360 --> 01:10:02.360]  Or three?
[01:10:02.360 --> 01:10:04.360]  Classrooms?
[01:10:04.360 --> 01:10:06.360]  Cztery.
[01:10:06.360 --> 01:10:08.360]  Tak, cztery klasy.
[01:10:08.360 --> 01:10:10.360]  Tam nie ma internetu.
[01:10:10.360 --> 01:10:12.360]  Masakra.
[01:10:12.360 --> 01:10:14.360]  I tam na końcu jest
