"C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Scripts\python.exe" "C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\transcribe.py"
C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Lib\site-packages\whisper\transcribe.py:132: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:19.820]  Dobra. Zaczynamy czas przeszły.
[01:02:59.400 --> 01:03:01.400]  Takie podstawowe słowa są takie
[01:03:01.400 --> 01:03:03.400]  od milionów lat temu.
[01:03:03.400 --> 01:03:05.400]  Tak, tak.
[01:03:05.400 --> 01:03:07.400]  I w zasadzie, nie wiem o każdym języku,
[01:03:07.400 --> 01:03:09.400]  ale w kilku językach
[01:03:09.400 --> 01:03:11.400]  wiem, że są kilka słów, kilka łeb,
[01:03:11.400 --> 01:03:13.400]  które zawsze są regularne.
[01:03:13.400 --> 01:03:15.400]  Jak bydż, miecz,
[01:03:15.400 --> 01:03:17.400]  iść.
[01:03:17.400 --> 01:03:19.400]  To było przed tym, jak zdecydowali się
[01:03:19.400 --> 01:03:21.400]  zrobić to, co ma sens, prawda?
[01:03:21.400 --> 01:03:23.400]  Tak.
[01:03:23.400 --> 01:03:25.400]  Czy jest w sumie ści niezwykle wspólne?
[01:03:25.400 --> 01:03:27.400]  Czy są inne inne, nielegalne słowa,
[01:03:27.400 --> 01:03:29.400]  które też używają ści?
[01:03:29.400 --> 01:03:31.400]  Jak...
[01:03:31.400 --> 01:03:33.400]  Czy są inne słowa?
[01:03:33.400 --> 01:03:35.400]  Czy jest to zupełnie inny?
[01:03:35.400 --> 01:03:37.400]  Czy to jest taki pattern, w którym
[01:03:37.400 --> 01:03:39.400]  ści dodaje...
[01:03:39.400 --> 01:03:41.400]  Czy to ma sens?
[01:03:41.400 --> 01:03:43.400]  Jeszcze raz. Jeszcze raz.
[01:03:43.400 --> 01:03:45.400]  Myślę, że pytasz mnie, czy to ści
[01:03:45.400 --> 01:03:47.400]  jest coś, o czym powinniśmy myśleć.
[01:03:47.400 --> 01:03:49.400]  Tak.
[01:03:49.400 --> 01:03:51.400]  To jest tylko konkretne do ści.
[01:03:51.400 --> 01:03:53.400]  Tak.
[01:03:53.400 --> 01:03:55.400]  Ale to też jest wskazane do...
[01:03:55.400 --> 01:03:57.400]  Do każdego z tych
[01:03:57.400 --> 01:03:59.400]  ści, takich polonowych.
[01:03:59.400 --> 01:04:01.400]  Tak. Do wszystkich ści związanych z ści.
[01:04:01.400 --> 01:04:03.400]  Tak.
[01:04:03.400 --> 01:04:05.400]  O tak. I są wiele takich?
[01:04:05.400 --> 01:04:07.400]  Tak. Pójść, dojść, wejść, wyjść, zejść.
[01:04:07.400 --> 01:04:09.400]  O!
[01:04:09.400 --> 01:04:11.400]  Wszystko takie.
[01:04:11.400 --> 01:04:13.400]  Ale na razie,
[01:04:13.400 --> 01:04:15.400]  na ten temat,
[01:04:15.400 --> 01:04:17.400]  ści jest ści.
[01:04:17.400 --> 01:04:19.400]  Wystarczy.
[01:04:21.400 --> 01:04:23.400]  Pytania?
[01:04:23.400 --> 01:04:25.400]  No.
[01:04:25.400 --> 01:04:27.400]  Mód?
[01:04:27.400 --> 01:04:29.400]  Mód?
[01:04:29.400 --> 01:04:31.400]  To może normalnie, ale to
[01:04:31.400 --> 01:04:33.400]  staje się mógłem?
[01:04:33.400 --> 01:04:35.400]  Mógłem?
[01:04:35.400 --> 01:04:37.400]  Mhm. To jest pas.
[01:04:37.400 --> 01:04:39.400]  Ok. Więc ści
[01:04:39.400 --> 01:04:41.400]  staje się ściemną?
[01:04:41.400 --> 01:04:43.400]  Tak.
[01:04:43.400 --> 01:04:45.400]  Dobra. To teraz ja bym
[01:04:45.400 --> 01:04:47.400]  chciała...
[01:04:47.400 --> 01:04:49.400]  Ok. Chciałabym, żeby Państwo spróbowali
[01:04:49.400 --> 01:04:51.400]  odmienić
[01:04:51.400 --> 01:04:53.400]  czasownik pierwszych brzegów.
[01:04:53.400 --> 01:04:55.400]  Jakiekolwiek brzegi, które chcecie,
[01:04:55.400 --> 01:04:57.400]  ale może nie te, które już zrobiliśmy.
[01:04:57.400 --> 01:04:59.400]  Może coś
[01:04:59.400 --> 01:05:01.400]  rzadkiego.
[01:05:01.400 --> 01:05:03.400]  Czyli
[01:05:03.400 --> 01:05:05.400]  liczba pojedyncza,
[01:05:05.400 --> 01:05:07.400]  rodzaj męski, żeński, mn jaki,
[01:05:07.400 --> 01:05:09.400]  liczba mnoga, rodzaj
[01:05:09.400 --> 01:05:11.400]  męsko, sobowy i męski.
[01:05:11.400 --> 01:05:13.400]  Ok.
[01:05:13.400 --> 01:05:15.400]  Ok.
[01:05:15.400 --> 01:05:17.400]  Ok.
[01:05:21.400 --> 01:05:41.640]  Masz to, co
[01:05:41.640 --> 01:05:45.640]  brzegi, sprawia jasność?
[01:05:45.640 --> 01:05:47.720]  Pos matrices i
[01:05:47.720 --> 01:05:50.280] ��
[01:05:51.400 --> 01:05:53.400]  Kupuje to jest to co mówi na imię.
[01:05:53.400 --> 01:05:55.400]  Kupuje.
[01:05:55.400 --> 01:05:57.400]  Kupuje.
[01:05:57.400 --> 01:05:59.400]  Jest to trzeci osobista?
[01:05:59.400 --> 01:06:01.400]  On, ona kupuje?
[01:06:01.400 --> 01:06:03.400]  Tak.
[01:06:03.400 --> 01:06:05.400]  To jest ja kupuję.
[01:06:05.400 --> 01:06:07.400]  Kupujemy.
[01:06:07.400 --> 01:06:09.400]  To jest czas teraźniejszy.
[01:06:09.400 --> 01:06:11.400]  To jest prezentacja.
[01:06:11.400 --> 01:06:13.400]  Kupuję.
[01:06:13.400 --> 01:06:15.400]  To będzie kupiłem.
[01:06:15.400 --> 01:06:17.400]  Kupić.
[01:06:17.400 --> 01:06:19.400]  Kupiłem.
[01:06:19.400 --> 01:06:21.400]  Kupiłem.
[01:06:21.400 --> 01:06:23.400]  Tak?
[01:06:23.400 --> 01:06:25.400]  Kupiłaś?
[01:06:25.400 --> 01:06:27.400]  Tak.
[01:06:27.400 --> 01:06:29.400]  Kupiłaś.
[01:06:29.400 --> 01:06:31.400]  Kupiłaś.
[01:06:31.400 --> 01:06:33.400]  Kupiliśmy.
[01:06:49.400 --> 01:06:51.400]  Dej, P Hope.
[01:06:51.400 --> 01:06:53.400]  Nie bölyy się.
[01:06:53.400 --> 01:06:55.400]  Nie ko likinguj.
[01:06:55.400 --> 01:06:57.400]  Hihi
[01:06:59.400 --> 01:07:01.400]  Hej.
[01:07:01.400 --> 01:07:03.400]  сторону.
[01:07:03.400 --> 01:07:05.400]  B எŁ sisterDAE suitsh reformoleske.
[01:07:05.400 --> 01:07:07.120]  Poproszę
[01:07:07.120 --> 01:07:09.080]  zaprakuję
[01:07:09.080 --> 01:07:11.080]  .
[01:07:14.520 --> 01:07:15.460] � moim
[01:07:15.460 --> 01:07:15.700]  Parky
[01:07:15.700 --> 01:07:16.460]  predecessor
[01:07:16.500 --> 01:07:17.200]  w
[01:07:17.400 --> 01:07:19.000]  I
[01:07:19.400 --> 01:07:21.400]  Dziękuję.
[01:07:49.400 --> 01:07:51.400]  Dziękuję.
[01:08:19.400 --> 01:08:21.400]  Dziękuję.
[01:08:49.400 --> 01:08:51.400]  Dziękuję.
[01:09:19.400 --> 01:09:21.400]  Dziękuję.
[01:09:49.400 --> 01:09:51.400]  Dziękuję.
[01:09:53.400 --> 01:09:55.400]  Czy już?
[01:10:05.400 --> 01:10:07.400]  Super.
[01:10:09.400 --> 01:10:11.400]  Czy już?
[01:10:11.400 --> 01:10:13.400]  Mhmm.
[01:10:19.400 --> 01:10:21.400]  Super.
[01:10:49.400 --> 01:10:54.240]  Jeszcze kilka.
[01:10:54.240 --> 01:10:56.920]  Ok, to jeszcze wina.
[01:10:56.920 --> 01:10:57.920]  Tak.
[01:10:57.920 --> 01:10:58.920]  Tak.
[01:11:19.400 --> 01:11:20.400]  Super.
[01:11:20.400 --> 01:11:29.400]  Dobra, a czy ktoś ma zadanie domowe na dzisiaj?
[01:11:29.400 --> 01:11:32.400]  To jest jego homework for today.
[01:11:32.400 --> 01:11:34.400]  What was last time?
[01:11:34.400 --> 01:11:36.400]  Hmm?
[01:11:36.400 --> 01:11:38.400]  We had homework.
[01:11:38.400 --> 01:11:39.400]  Yes.
[01:11:39.400 --> 01:11:40.400]  We had?
[01:11:40.400 --> 01:11:42.400]  Ok.
[01:11:42.400 --> 01:11:45.400]  Can you please write your name somewhere?
[01:11:45.400 --> 01:11:48.400]  I'll take it, because I don't want to waste time.
[01:11:48.400 --> 01:11:49.400]  Ok.
[01:11:49.400 --> 01:11:51.400]  I I'm going to do it now.
[01:11:51.400 --> 01:11:53.400]  When you are done.
[01:11:53.400 --> 01:11:55.400]  I'm done.
[01:11:55.400 --> 01:11:56.400]  I'm done.
[01:11:56.400 --> 01:11:58.400]  Ok, it's ok.
[01:11:58.400 --> 01:11:59.400]  You have to write it down.
[01:11:59.400 --> 01:12:00.400]  Ok.
[01:12:00.400 --> 01:12:02.400]  I did a lot of homework.
[01:12:02.400 --> 01:12:08.400]  I couldn't do this one, because you need to have some kind of audio how to do this I suppose.
[01:12:08.400 --> 01:12:09.400]  Was that a homework I saw?
[01:12:09.400 --> 01:12:10.400]  Yes.
[01:12:10.400 --> 01:12:11.400]  No.
[01:12:11.400 --> 01:12:12.400]  No?
[01:12:12.400 --> 01:12:13.400]  No.
[01:12:13.400 --> 01:12:14.400]  Was it time for war?
[01:12:14.400 --> 01:12:15.400]  Ok, never mind.
[01:12:15.400 --> 01:12:17.400]  I didn't edit everything.
[01:12:17.400 --> 01:12:18.400]  I wasn't trying.
[01:12:18.400 --> 01:12:19.400]  I didn't.
[01:12:19.400 --> 01:12:20.400]  I'll try to..
[01:12:20.400 --> 01:12:22.400]  What the hell.
[01:12:30.400 --> 01:12:32.400]  There is a lot of other stuff.
[01:12:32.400 --> 01:12:33.400]  Ok, don't worry.
[01:12:33.400 --> 01:12:34.400]  Ok, I'll try to um...
[01:12:34.400 --> 01:12:35.400]  Remember?
[01:12:35.400 --> 01:12:36.400]  What now?
[01:12:36.400 --> 01:12:37.400]  Oh, should I write my name?
[01:12:37.400 --> 01:12:38.400]  Yes.
[01:12:38.400 --> 01:12:39.400]  Yes.
[01:12:39.400 --> 01:12:40.400]  I think I remember what?
[01:12:40.400 --> 01:12:41.400]  I think I remember what?
[01:12:41.400 --> 01:12:42.400]  I don't know.
[01:12:42.400 --> 01:12:43.400]  I don't know.
[01:12:43.400 --> 01:12:44.400]  I don't know.
[01:12:44.400 --> 01:12:45.400]  I don't know.
[01:12:45.400 --> 01:12:46.400]  I don't know.
[01:12:46.400 --> 01:12:47.400]  Ok.
[01:12:47.400 --> 01:12:48.400]  Ok.
[01:12:48.400 --> 01:12:49.400]  P pue.
[01:12:49.400 --> 01:12:50.400]  P pue.
[01:12:50.400 --> 01:12:51.400]  P pue.
[01:12:51.400 --> 01:12:52.400]  Pue.
[01:12:52.400 --> 01:12:53.400]  I have a question?
[01:12:53.400 --> 01:12:54.400]  Ok.
[01:12:54.400 --> 01:12:55.400]  Ok.
[01:12:55.400 --> 01:12:56.400]  Mam jedne pytanie.
[01:12:56.400 --> 01:12:57.400]  Jakie jest takie pytanie po counseling.
[01:12:57.400 --> 01:12:58.400]  Chcible z tego aqui?
[01:12:58.400 --> 01:12:59.400]  Ok.
[01:12:59.400 --> 01:13:00.400]  Dyeście się postaci?
[01:13:00.400 --> 01:13:01.400]  Ok.
[01:13:01.400 --> 01:13:02.400]  Ok.
[01:13:02.400 --> 01:13:17.400]  sprawi że Rodriguez przerhabitude o Mys Cast Z resultat z powodu zbrania
[01:13:17.400 --> 01:13:47.380]  Dzień dobry.
[01:13:47.400 --> 01:14:17.380]  Dzień dobry.
[01:14:17.400 --> 01:14:47.380]  Dzień dobry.
[01:14:47.400 --> 01:15:17.380]  Dzień dobry.
[01:15:17.400 --> 01:15:47.380]  Dzień dobry.
[01:15:47.400 --> 01:16:17.380]  Dzień dobry.
[01:16:17.400 --> 01:16:47.380]  Dzień dobry.
[01:16:47.400 --> 01:16:49.400]  Dzień dobry.
[01:17:09.400 --> 01:17:15.400]  Dzień dobry.
[01:17:17.400 --> 01:17:19.400]  Dzień dobry.
[01:17:22.320 --> 01:17:25.520]  Więc ostatnie słowo to to, że myślisz po polsku?
[01:17:25.520 --> 01:17:27.520]  Tak.
[01:17:30.400 --> 01:17:32.400]  Mam nadzieję, że myślisz po polsku, dziękuję.
[01:17:47.400 --> 01:18:16.400]  Zajęty.
[01:18:16.400 --> 01:18:19.760]  Zajęty jest w śnie ognika.
[01:18:35.760 --> 01:18:36.680]  Tak.
[01:18:36.680 --> 01:18:43.000]  So the ending of the adjective will change if it is bywam or bywam.
[01:18:44.100 --> 01:18:44.680]  Tak.
[01:18:46.400 --> 01:18:47.400]  Mhm.
[01:18:48.160 --> 01:18:55.160]  Because przymiotnik have always the same, has always the same gender as the noun.
[01:18:55.160 --> 01:18:56.160]  The noun, tak.
[01:19:16.400 --> 01:19:18.080]  Tak znaczy się się choć w ten pomysł.
[01:19:18.080 --> 01:19:20.240]  Also antińczymy się riach, reguł.
[01:19:20.240 --> 01:19:22.240]  Lee to jest najbardziejjarne.
[01:19:22.240 --> 01:19:24.380]  Dzięki, że czytaliśmy.
[01:19:24.380 --> 01:19:30.340]  No to i kolejna toca nasza TO POLSKA PROSPERIT higher equipment.
[01:19:30.340 --> 01:19:36.100]  U widzów,нι Schule bł kóra Superman pod jetkonem on nową wersję na filmassung d oraz e-szkole cっていう.
[01:19:36.100 --> 01:19:38.340]  Więc Vegas client.
[01:19:38.340 --> 01:19:44.140]  Więc to şimdi za
[01:19:44.140 --> 01:19:44.680] 동
[01:19:44.680 --> 01:19:45.860]  Certificaty
[01:19:45.860 --> 01:19:46.220]  ocinch beach
[01:19:46.220 --> 01:19:56.220]  Czy musimy teraz przejść do wydarzeń? Czy to będzie coś innego?
[01:19:56.220 --> 01:20:00.220]  Nie.
[01:20:00.220 --> 01:20:02.220]  To nie będzie coś innego?
[01:20:02.220 --> 01:20:04.220]  Nie.
[01:20:04.220 --> 01:20:13.220]  Bo wersje się zmieniają z powodu gęsty i z powodu osoby, ale nie z powodu wydarzeń.
[01:20:13.220 --> 01:20:15.220]  Bo...
[01:20:15.220 --> 01:20:17.220]  Nie, mówię o wersjach po tym.
[01:20:17.220 --> 01:20:19.220]  Tak jak robbium...
[01:20:19.220 --> 01:20:21.220]  To może się zmienia.
[01:20:21.220 --> 01:20:33.220]  Mieliśmy dwa wersje, nie? Mieliśmy suham muzyki, ale powiedziałeś, że suham muzyki nie będzie biernik, będzie topeniacz.
[01:20:33.220 --> 01:20:34.220]  Tak?
[01:20:34.220 --> 01:20:35.220]  Tak.
[01:20:35.220 --> 01:20:43.220]  Suham, ale jem... Przepraszam, ale jakieś inne słowa, jak mam, to będzie biernik, nie?
[01:20:43.220 --> 01:20:44.220]  Tak.
[01:20:44.220 --> 01:20:48.220]  Więc te same reguły będą się wytłumaczyły w pastym języku, tak?
[01:20:48.220 --> 01:20:49.220]  Tak.
[01:20:49.220 --> 01:20:50.220]  Tak.
[01:20:50.220 --> 01:20:51.220]  Tak.
[01:20:51.220 --> 01:20:52.220]  Tak.
[01:20:52.220 --> 01:20:53.220]  Tak.
[01:20:53.220 --> 01:20:54.220]  Tak.
[01:20:54.220 --> 01:20:55.220]  Tak.
[01:20:55.220 --> 01:20:56.220]  Tak.
[01:20:56.220 --> 01:20:57.220]  Tak.
[01:20:57.220 --> 01:20:58.220]  Tak.
[01:20:58.220 --> 01:20:59.220]  Tak.
[01:20:59.220 --> 01:21:00.220]  Tak.
[01:21:00.220 --> 01:21:01.220]  Tak.
[01:21:01.220 --> 01:21:02.220]  Tak.
[01:21:02.220 --> 01:21:03.220]  Tak.
[01:21:03.220 --> 01:21:04.220]  Tak.
[01:21:04.220 --> 01:21:05.220]  Tak.
[01:21:05.220 --> 01:21:06.220]  Tak.
[01:21:06.220 --> 01:21:07.220]  Tak.
[01:21:07.220 --> 01:21:08.220]  Tak.
[01:21:08.220 --> 01:21:09.220]  Tak.
[01:21:09.220 --> 01:21:10.220]  Tak.
[01:21:10.220 --> 01:21:11.220]  Tak.
[01:21:11.220 --> 01:21:12.220]  Tak.
[01:21:12.220 --> 01:21:13.220]  Tak.
[01:21:13.220 --> 01:21:14.220]  Tak.
[01:21:14.220 --> 01:21:15.220]  Tak.
[01:21:15.220 --> 01:21:16.220]  Tak.
[01:21:16.220 --> 01:21:17.220]  Tak.
[01:21:17.220 --> 01:21:18.220]  Tak.
[01:21:18.220 --> 01:21:19.220]  Tak.
[01:21:19.220 --> 01:21:20.220]  Tak.
[01:21:20.220 --> 01:21:21.220]  Tak.
[01:21:21.220 --> 01:21:22.220]  Tak.
[01:21:22.220 --> 01:21:23.220]  Tak.
[01:21:23.220 --> 01:21:26.220]  Lecz nie nie że ten jest nowy, 갈uszy w Software.
[01:21:26.220 --> 01:21:29.220]  Czyli Ch repairing, stern Comes again can be done such form, by the way he do people,
[01:21:29.220 --> 01:21:31.220]  to make you feel that you should improve and consider the mapping lag, because you need that problem issues,
[01:21:31.220 --> 01:21:32.220]  여기에, to lead the same as in any city in the future.
[01:21:32.220 --> 01:21:33.220]  I was actually building an on site...
[01:21:33.220 --> 01:21:34.220]  ...and both of you are bill Sibi...
[01:21:34.220 --> 01:21:35.220]  ... and both of them are building it together, but other time it wasn't your fault.
[01:21:35.220 --> 01:21:36.220]  And Lili comparating to wo mne, no.
[01:21:36.220 --> 01:21:38.220]  I didn't say that you would tell me fully because they did all, and you길,
[01:21:38.220 --> 01:21:39.220]  And we are not saying, Això oak jab lij VII-5 recommendations,
[01:21:39.220 --> 01:21:43.220]  Dobra, no to co pan robił wczoraj?
[01:21:43.220 --> 01:21:47.220]  Yesterday.
[01:21:57.220 --> 01:22:01.220]  Ja byłam w Chisznę obiad.
[01:22:01.220 --> 01:22:05.220]  Co jeszcze?
[01:22:05.220 --> 01:22:09.220]  Jest jasna.
[01:22:09.220 --> 01:22:13.220]  Jadłem.
[01:22:13.220 --> 01:22:17.220]  Jestem jadłem.
[01:22:17.220 --> 01:22:21.220]  Jestem jadłem.
[01:22:21.220 --> 01:22:25.220]  Jestem jadłem.
[01:22:25.220 --> 01:22:29.220]  Jestem jadłem.
[01:22:29.220 --> 01:22:33.220]  Co jeszcze?
[01:22:33.220 --> 01:22:35.220]  Tak.
[01:22:35.220 --> 01:22:41.220]  Rozmawiałem, robiłem zadania domowe.
[01:22:41.220 --> 01:22:45.220]  Rozmawiałem po polsku.
[01:22:45.220 --> 01:22:49.220]  Słuchałem muzyki.
[01:22:49.220 --> 01:22:51.220]  Super.
[01:22:51.220 --> 01:22:53.220]  A pan co robił wczoraj?
[01:22:53.220 --> 01:22:57.220]  Jadłem w Chisznę obiad.
[01:22:57.220 --> 01:23:01.220]  Słuchałem muzyki.
[01:23:01.220 --> 01:23:03.220]  Uczyłem się.
[01:23:03.220 --> 01:23:05.220]  Uczyłem się.
[01:23:05.220 --> 01:23:07.220]  Rozmawiałem języka polskiego.
[01:23:07.220 --> 01:23:09.220]  Rozmawiałem po polsku.
[01:23:09.220 --> 01:23:11.220]  Rozmawiałem?
[01:23:11.220 --> 01:23:13.220]  Rozmawiałem.
[01:23:13.220 --> 01:23:15.220]  Rozmawiałem.
[01:23:15.220 --> 01:23:17.220]  To wszystko.
[01:23:17.220 --> 01:23:19.220]  Nie myślał pan po polsku?
[01:23:19.220 --> 01:23:21.220]  Nie myślał pan po polsku?
[01:23:21.220 --> 01:23:23.220]  Nie myślał pan po polsku?
[01:23:23.220 --> 01:23:25.220]  Jeśli mówisz po polsku, to myślisz po polsku.
[01:23:25.220 --> 01:23:27.220]  Jeśli mówisz po polsku, to myślisz po polsku.
[01:23:27.220 --> 01:23:29.220]  Nie mówię po polsku.
[01:23:29.220 --> 01:23:31.220]  Ok.
[01:23:31.220 --> 01:23:33.220]  A co robił?
[01:23:33.220 --> 01:23:35.220]  Założyłem sweetheart'a.
[01:23:35.220 --> 01:23:37.220]  Ale to właśnie jest moja po muzyce.
[01:23:37.220 --> 01:23:39.040]  Dziękuję i raz i.
[01:23:56.980 --> 01:23:58.460]  Nie, nie.
[01:23:58.460 --> 01:24:01.220]  Kam Decku, ponieważ Zen cheerful Melody to jest muzyk.
[01:24:01.220 --> 01:24:04.220]  W tej chwili powinieneś trochę.
[01:24:04.220 --> 01:24:10.220]  Jeżeli chcesz pojechać do Żabki, to może banany, chleb, coś takiego.
[01:24:10.220 --> 01:24:11.220]  Swigry też.
[01:24:11.220 --> 01:24:12.220]  Ok, dobrze.
[01:24:12.220 --> 01:24:14.220]  Bardzo polecam.
[01:24:14.220 --> 01:24:16.220]  Ok, a co Pani robiła wtedy?
[01:24:16.220 --> 01:24:21.220]  Rozmawiałam przez telefon.
[01:24:21.220 --> 01:24:23.220]  Rozmawiałam.
[01:24:23.220 --> 01:24:29.220]  Jadłam przez obiad.
[01:24:29.220 --> 01:24:33.220]  Rozmawiałam przez telefon.
[01:24:33.220 --> 01:24:41.220]  Rozmawiałam przez e-mail.
[01:24:41.220 --> 01:24:45.220]  Rozmawiałam przez polski.
[01:24:45.220 --> 01:24:47.220]  Super.
[01:24:47.220 --> 01:24:51.220]  Dobrze, a Pan co robi wczoraj?
[01:24:51.220 --> 01:24:54.220]  Co ty dzisiaj robisz?
[01:24:54.220 --> 01:24:56.220]  Nie wiem.
[01:24:56.220 --> 01:24:58.220]  Gruby dniem?
[01:24:58.220 --> 01:24:59.220]  Gruby dniem.
[01:24:59.220 --> 01:25:02.280] ункu học
[01:25:03.220 --> 01:25:05.220]  Rock & Roll
[01:25:05.220 --> 01:25:13.180]  Cris- politik
[01:25:13.180 --> 01:25:15.180]  PracWaited
[01:25:15.180 --> 01:25:23.180]  Tekst
[01:25:23.180 --> 01:25:29.220]  Różnica
[01:25:29.220 --> 01:25:39.220]  Zatem pozinęli Piła. Piła jest...
[01:25:39.220 --> 01:25:42.220]  Pisałem? Pisałem.
[01:25:42.220 --> 01:25:47.220]  Dobra, a Pani?
[01:25:47.220 --> 01:25:55.220]  Rozmawiałam przez telefon. Rozmawiałam, rodzaj żeński.
[01:25:55.220 --> 01:25:59.220]  Rozmawiałam przez telefon.
[01:25:59.220 --> 01:26:03.220]  Miałam przy obie...
[01:26:03.220 --> 01:26:05.220]  Przy obie.
[01:26:05.220 --> 01:26:09.220]  Pracowałam. Pracowałam.
[01:26:09.220 --> 01:26:19.220]  Oglądałam telewizję. Oglądałam telewizję.
[01:26:19.220 --> 01:26:25.220]  Słuchałam. Słuchałam.
[01:26:25.220 --> 01:26:29.220]  Pisałam muzyki.
[01:26:29.220 --> 01:26:38.220]  Pisałam filmy. Pisałam. Pisałam filmy.
[01:26:38.220 --> 01:26:40.220]  Mieszkałam w czubu z...
[01:26:40.220 --> 01:26:42.220]  Super.
[01:26:42.220 --> 01:26:44.220]  Dobra.
[01:26:44.220 --> 01:26:49.220]  Okej. Czyli co? Nasz czas nadszedł.
[01:26:49.220 --> 01:26:51.220]  To uwaga, uwaga.
[01:26:51.220 --> 01:26:53.220]  O.
[01:26:53.220 --> 01:26:55.220]  Dobra.
[01:27:15.220 --> 01:27:17.220]  Tutaj mamy zadanie otwarte.
[01:27:17.220 --> 01:27:22.220]  Tutaj musimy napisać.
[01:27:22.220 --> 01:27:25.220]  Przynajmniej siedem zdań.
[01:27:25.220 --> 01:27:30.220]  Co w zeszłym tygodniu robiła Katarzyna i Robert.
[01:27:30.220 --> 01:27:33.220]  So we have the time table of two people.
[01:27:33.220 --> 01:27:36.220]  And we need to write at least seven sentences.
[01:27:36.220 --> 01:27:38.220]  What does this...
[01:27:38.220 --> 01:27:40.220]  What did the people...
[01:27:40.220 --> 01:27:44.220]  Katarzyna and Robert did last week.
[01:27:44.220 --> 01:27:47.220]  To jest jedna rzecz.
[01:27:47.220 --> 01:27:50.220]  I potem na końcu...
[01:27:50.220 --> 01:27:56.220]  Mamy kilka stron, które nazywają się ćwiczenia.
[01:27:56.220 --> 01:27:59.220]  Patrz, patrz. Jeszcze wcześniej.
[01:27:59.220 --> 01:28:01.220]  Ćwiczenia.
[01:28:01.220 --> 01:28:06.220]  To jest strona siedem.
[01:28:06.220 --> 01:28:08.220]  Mamy ćwiczenia.
[01:28:08.220 --> 01:28:11.220]  Strona siedem.
[01:28:11.220 --> 01:28:14.220]  I tutaj, w tej części...
[01:28:14.220 --> 01:28:16.220]  Tutaj.
[01:28:16.220 --> 01:28:23.220]  Mamy tak.
[01:28:23.220 --> 01:28:25.220]  Co mamy dzisiaj?
[01:28:25.220 --> 01:28:27.220]  Czwartek.
[01:28:27.220 --> 01:28:29.220]  Piątek, sobota, niedziela, kwietnia, jutrorek.
[01:28:29.220 --> 01:28:30.220]  Ok.
[01:28:30.220 --> 01:28:32.220]  Dwa.
[01:28:32.220 --> 01:28:34.220]  Trzy.
[01:28:34.220 --> 01:28:37.220]  I cztery.
[01:28:37.220 --> 01:28:39.220]  Tak?
[01:28:39.220 --> 01:28:44.220]  Czyli musimy to samo, co robiliśmy dzisiaj, uzupełnić.
[01:28:44.220 --> 01:28:46.220]  Ćwiczenie drugie.
[01:28:46.220 --> 01:28:47.220]  Trzy.
[01:28:47.220 --> 01:28:48.220]  Trzy.
[01:28:48.220 --> 01:28:49.220]  I czwartek.
[01:28:49.220 --> 01:28:51.220]  I czwartek.
[01:28:51.220 --> 01:28:52.220]  I czwartek.
[01:28:52.220 --> 01:28:54.220]  I cztery zadania.
[01:28:54.220 --> 01:28:55.220]  Ok.
[01:28:55.220 --> 01:28:56.220]  Tak?
[01:28:56.220 --> 01:28:57.220]  Cztery zadania.
[01:28:57.220 --> 01:28:58.220]  Mam jedną, ale najpierw muszę pójść do domu i pomyśleć o niej.
[01:28:58.220 --> 01:28:59.220]  A jeśli będę miał jeszcze takie pytania, to będę miał...
[01:28:59.220 --> 01:29:00.220]  Wiesz, cztery zadania.
[01:29:00.220 --> 01:29:01.220]  Ok.
[01:29:01.220 --> 01:29:02.220]  Bo myślę, że...
[01:29:02.220 --> 01:29:03.220]  Tak.
[01:29:03.220 --> 01:29:04.220]  Ja nie mam tego.
[01:29:04.220 --> 01:29:05.220]  Nie mam tego.
[01:29:05.220 --> 01:29:06.220]  Nie mam tego.
[01:29:06.220 --> 01:29:07.220]  Nie mam tego.
[01:29:07.220 --> 01:29:08.220]  Nie mam tego.
[01:29:08.220 --> 01:29:09.220]  Nie mam tego.
[01:29:09.220 --> 01:29:10.220]  Nie mam tego.
[01:29:10.220 --> 01:29:11.220]  Nie mam tego.
[01:29:11.220 --> 01:29:12.220]  Nie mam tego.
[01:29:12.220 --> 01:29:13.220]  Nie mam tego.
[01:29:13.220 --> 01:29:14.220]  Nie mam tego.
[01:29:14.220 --> 01:29:15.220]  Nie mam tego.
[01:29:15.220 --> 01:29:16.220]  Nie mam tego.
[01:29:16.220 --> 01:29:17.220]  Nie mam tego.
[01:29:17.220 --> 01:29:18.220]  Nie mam tego.
[01:29:18.220 --> 01:29:19.220]  Nie mam tego.
[01:29:19.220 --> 01:29:20.220]  Nie mam tego.
[01:29:20.220 --> 01:29:21.220]  Nie mam tego.
[01:29:21.220 --> 01:29:22.220]  Już Xiang?
[01:29:22.220 --> 01:29:23.220]  Strresident of Taiwan?
[01:29:23.220 --> 01:29:24.220]  Trzecy?
[01:29:24.220 --> 01:29:25.220]  Pr Ethiopia?
