[00:00.000 --> 00:02.000]  Nie, co?
[01:11:47.580 --> 01:11:49.580]  Bardzo dobrze.
[01:11:49.580 --> 01:11:51.580]  20.
[01:11:51.580 --> 01:11:52.580]  20.
[01:11:52.580 --> 01:11:54.580]  Tak, 20.
[01:11:54.580 --> 01:11:56.580]  20.
[01:11:56.580 --> 01:11:59.580]  20.
[01:11:59.580 --> 01:12:05.580]  No i teraz uwaga, sami.
[01:12:05.580 --> 01:12:07.580]  20.
[01:12:07.580 --> 01:12:08.580]  20.
[01:12:08.580 --> 01:12:09.580]  Dobrze.
[01:12:09.580 --> 01:12:10.580]  21.
[01:12:10.580 --> 01:12:11.580]  21.
[01:12:11.580 --> 01:12:12.580]  Tak, 20.
[01:12:12.580 --> 01:12:13.580]  21.
[01:12:13.580 --> 01:12:14.580]  Jeśli jest dzień, na przykład, dla kobiet.
[01:12:14.580 --> 01:12:15.580]  21, bo dzień jest masyjny.
[01:12:15.580 --> 01:12:16.580]  Godzina.
[01:12:16.580 --> 01:12:17.580]  21.
[01:12:17.580 --> 01:12:18.580]  Or.
[01:12:18.580 --> 01:12:19.580]  21.
[01:12:19.580 --> 01:12:20.580]  No to klauza, proszę, co tu?
[01:12:20.580 --> 01:12:21.580]  21.
[01:12:21.580 --> 01:12:22.580]  21.
[01:12:22.580 --> 01:12:23.580]  21.
[01:12:23.580 --> 01:12:24.580]  21.
[01:12:24.580 --> 01:12:25.580]  21.
[01:12:25.580 --> 01:12:26.580]  No to klauza, proszę, co tu?
[01:12:26.580 --> 01:12:27.580]  1.
[01:12:27.580 --> 01:12:28.580]  1.
[01:12:28.580 --> 01:12:29.580]  1.
[01:12:29.580 --> 01:12:30.580]  1.
[01:12:30.580 --> 01:12:31.580]  1.
[01:12:31.580 --> 01:12:32.580]  1.
[01:12:32.580 --> 01:12:33.580]  1.
[01:12:33.580 --> 01:12:34.580]  1.
[01:12:34.580 --> 01:12:35.580]  1.
[01:12:35.580 --> 01:12:36.580]  1.
[01:12:36.580 --> 01:12:37.580]  1.
[01:12:37.580 --> 01:12:38.580]  1.
[01:12:38.580 --> 01:12:39.580]  1.
[01:12:39.580 --> 01:12:40.580]  1.
[01:12:40.580 --> 01:12:41.580]  1.
[01:12:41.580 --> 01:12:42.580]  1.
[01:12:42.580 --> 01:12:43.580]  1.
[01:12:43.580 --> 01:12:44.580]  1.
[01:12:44.580 --> 01:12:45.580]  1.
[01:12:45.580 --> 01:12:46.580]  1.
[01:12:46.580 --> 01:12:47.580]  1.
[01:12:47.580 --> 01:12:48.580]  1.
[01:12:48.580 --> 01:12:49.580]  1.
[01:12:49.580 --> 01:12:50.580]  1.
[01:12:50.580 --> 01:12:51.580]  1.
[01:12:51.580 --> 01:12:52.580]  1.
[01:12:52.580 --> 01:12:53.580]  1.
[01:12:53.580 --> 01:12:54.580]  1.
[01:13:01.580 --> 01:13:03.580]  1.
[01:13:03.580 --> 01:13:04.580]  1.
[01:13:04.580 --> 01:13:05.580]  1.
[01:13:05.580 --> 01:13:06.580]  1.
[01:13:06.580 --> 01:13:07.580]  1.
[01:13:07.580 --> 01:13:10.580]  23.
[01:13:10.580 --> 01:13:11.580]  Dobrze.
[01:13:11.580 --> 01:13:14.580]  Tak, 23.
[01:13:14.580 --> 01:13:16.580]  Super.
[01:13:20.580 --> 01:13:25.580]  23, 23.
[01:13:27.580 --> 01:13:30.580]  I the last number today.
[01:13:30.580 --> 01:13:34.580]  24, czyli...
[01:13:35.580 --> 01:13:38.580]  Dwudziesty czwarty.
[01:13:38.580 --> 01:13:42.580]  Dwudziesty czwarty.
[01:13:45.580 --> 01:13:49.580]  Dwudziesta czwarta i dwudzieste czwarte.
[01:13:51.580 --> 01:13:54.580]  I teraz robimy stop,
[01:13:54.580 --> 01:13:59.580]  because we need for the question, która jest godzina, only this number.
[01:13:59.580 --> 01:14:00.580]  Mhm.
[01:14:00.580 --> 01:14:03.580]  If we want for example the day of the month,
[01:14:03.580 --> 01:14:08.580]  we should do this for 31,
[01:14:08.580 --> 01:14:12.580]  because, który dzisiaj jest dzień, dzisiaj jest 31.
[01:14:12.580 --> 01:14:13.580]  No to dobrze.
[01:14:13.580 --> 01:14:19.580]  Pierwszy krok we read only this original numbers, dobrze?
[01:14:19.580 --> 01:14:23.580]  I będziemy powtarzać, you will repeat after me.
[01:14:23.580 --> 01:14:26.580]  Czyli pierwszy, pierwsza, pierwsze.
[01:14:26.580 --> 01:14:27.580]  Zajmij się.
[01:14:27.580 --> 01:14:29.580]  Pierwszy, pierwszy, pierwszy.
[01:14:29.580 --> 01:14:30.580]  Drugi.
[01:14:30.580 --> 01:14:32.580]  Drugi, druga, drugie.
[01:14:33.580 --> 01:14:35.580]  Drugi, druga, drugie.
[01:14:36.580 --> 01:14:39.580]  Trzeci, trzecia, trzecie.
[01:14:39.580 --> 01:14:41.580]  Trzy, trzecia, trzecie.
[01:14:41.580 --> 01:14:43.980]  Czwarty.
[01:14:43.980 --> 01:14:48.580]  Czwarta, czwarte.
[01:14:49.580 --> 01:14:55.580]  Piąty, piąta, piąte.
[01:14:55.580 --> 01:14:59.580]  Szósty, szósta, szóste.
[01:14:59.580 --> 01:15:04.860]  Siódmy, siódma, siódme.
[01:15:08.360 --> 01:15:11.820]  Ósmy, ósma, ósme.
[01:15:14.760 --> 01:15:19.140]  Dziewiąty, dziewiąta, dziewiąte.
[01:15:19.140 --> 01:15:23.320]  Dziewiąty, dziewiąta, dziewiąte.
[01:15:24.040 --> 01:15:28.140]  Dziesiąty, dziesiąta, dziesiąte.
[01:15:29.580 --> 01:15:31.740]  Dziesiąta, dziesiąta.
[01:15:32.160 --> 01:15:36.380]  Jedenaście, jedenasta, jedenaste.
[01:15:36.600 --> 01:15:40.200]  Jedenastę, jedenasta, jedenastę.
[01:15:40.720 --> 01:15:45.440]  Dwunasty, dwunasta, dwunaste.
[01:15:46.000 --> 01:15:49.480]  Dwunasty, dwunasta, dwunasty.
[01:15:50.160 --> 01:15:53.560]  Trzynasty, trzynasta, trzynaste.
[01:15:53.940 --> 01:15:57.000]  Trzynasto, trzynasto, trzynasto.
[01:15:57.320 --> 01:15:59.320]  Czternasty, czternasty.
[01:15:59.580 --> 01:16:06.160]  Czternasty, czternasta, czternasty, czternasty, czternasty
[01:16:06.560 --> 01:16:15.420]  Piętnasty, piętnasta, piętnasty, piętnasty, piętnasty, piętnasty
[01:16:15.600 --> 01:16:16.100]  Super!
[01:16:16.100 --> 01:16:20.480]  Szesnasty, szesnasta, szesnasty,
[01:16:20.640 --> 01:16:24.000]  sze rotating, sześniasty, szesnasty,
[01:16:24.120 --> 01:16:25.200]  Świetnie!
[01:16:25.200 --> 01:16:34.140]  Siedemnasty, siedemnasta, siedemnasty
[01:16:34.140 --> 01:16:41.720]  Osiemnasty, osiemnasta, osiemnasty
[01:16:41.720 --> 01:16:50.800]  Dziewiętnasty, dziewiętnasta, dziewiętnasty
[01:16:50.800 --> 01:16:55.240]  20 20 20
[01:16:55.240 --> 01:16:58.840]  20 20 20
[01:16:58.840 --> 01:17:02.960]  Super. To teraz poproszę 21.
[01:17:02.960 --> 01:17:10.080]  21 21
[01:17:10.080 --> 01:17:14.940]  21 I 21. Super.
[01:17:14.940 --> 01:17:23.580]  22, 22, 22. Świetnie. I?
[01:17:23.580 --> 01:17:26.940]  23.
[01:17:26.940 --> 01:17:36.060]  23, 23, 23. Dobrze.
[01:17:36.060 --> 01:17:40.460]  23. Tak, 23.
[01:17:40.460 --> 01:17:48.140]  23. Właśnie, super. I spróbujemy 24.
[01:17:48.140 --> 01:17:51.100]  24? Mhm, 24.
[01:17:51.100 --> 01:17:53.100]  Dwudziesta czwarta.
[01:17:53.100 --> 01:17:55.100]  Dwudziesta czwarta? Czwarta.
[01:17:55.100 --> 01:17:57.100]  Czwarta.
[01:17:57.100 --> 01:17:59.100]  Czwarta.
[01:17:59.100 --> 01:18:02.300]  The teeths together. Czwarta.
[01:18:02.300 --> 01:18:04.300]  Dwudziesta czwarta.
[01:18:04.300 --> 01:18:08.300]  Dwudziesta jest ok, dwudziesta jest super, tylko to force.
[01:18:08.300 --> 01:18:10.300]  Czwarta.
[01:18:10.300 --> 01:18:12.300]  Czwarta.
[01:18:12.300 --> 01:18:14.300]  I dwudzieste czwarte.
[01:18:14.300 --> 01:18:16.300]  Dwudzieste czwarte.
[01:18:16.300 --> 01:18:22.300]  I teraz będziemy, słuchajcie, mieli pytanie.
[01:18:22.300 --> 01:18:26.300]  Który, która, które?
[01:18:26.300 --> 01:18:34.300]  W ćwiczeniu 25 mamy pierwszy, pierwsza czy pierwsze.
[01:18:34.300 --> 01:18:38.300]  You have to look at the noun.
[01:18:38.300 --> 01:18:40.300]  I?
[01:18:40.300 --> 01:18:44.300]  If it's feminine, masculine or neuter, you put the first word.
[01:18:44.300 --> 01:18:46.300]  Pierwsza nagroda.
[01:18:46.300 --> 01:18:50.300]  Praca to będzie, praca is feminine, masculine.
[01:18:50.300 --> 01:18:54.300]  Tak, to jest pierwsza praca.
[01:18:54.300 --> 01:18:56.300]  Czyli piszemy sobie.
[01:18:56.300 --> 01:18:58.300]  Przepraszam, mam pytanie?
[01:18:58.300 --> 01:19:02.300]  Pytania dla dwudziestej trzeciej.
[01:19:02.300 --> 01:19:06.300]  Koniec jest i, e.
[01:19:06.300 --> 01:19:08.300]  Is that correct?
[01:19:08.300 --> 01:19:10.300]  Przepraszam, ale to jest po polsku.
[01:19:10.300 --> 01:19:12.300]  Przepraszam, ale to jest po polsku.
[01:19:12.300 --> 01:19:14.300]  Czyli na końcu jest i, e.
[01:19:14.300 --> 01:19:16.300]  This i is already here.
[01:19:16.300 --> 01:19:18.300]  So you put only e.
[01:19:18.300 --> 01:19:20.300]  But the ending is i, e.
[01:19:20.300 --> 01:19:22.300]  Trzecie.
[01:19:22.300 --> 01:19:24.300]  Ok.
[01:19:24.300 --> 01:19:28.300]  So, sorry, but my understanding is that
[01:19:28.300 --> 01:19:32.300]  only if ge or ke is there at the end,
[01:19:32.300 --> 01:19:34.300]  then the ke...
[01:19:34.300 --> 01:19:36.300]  Usually after ke and je.
[01:19:36.300 --> 01:19:38.300]  Also for three.
[01:19:38.300 --> 01:19:40.300]  For all ke.
[01:19:40.300 --> 01:19:42.300]  Mhm, also trzecie.
[01:19:42.300 --> 01:19:44.300]  No to dobrze.
[01:19:46.300 --> 01:19:48.300]  Nagroda to jest a word.
[01:19:48.300 --> 01:19:50.300]  The first word.
[01:19:50.300 --> 01:19:52.300]  Pierwsza nagroda.
[01:19:52.300 --> 01:19:54.300]  Pierwsza praca.
[01:19:54.300 --> 01:19:56.300]  Miłość znaczy...
[01:19:56.300 --> 01:19:58.300]  To nie jest verb.
[01:19:58.300 --> 01:20:00.300]  To jest noun.
[01:20:00.300 --> 01:20:02.300]  Czyli love.
[01:20:02.300 --> 01:20:04.300]  I to będzie the first love.
[01:20:04.300 --> 01:20:06.300]  Aaa.
[01:20:06.300 --> 01:20:08.300]  Because to love to jest kuchać.
[01:20:08.300 --> 01:20:10.300]  To jest verb.
[01:20:10.300 --> 01:20:12.300]  A to jest noun.
[01:20:12.300 --> 01:20:14.300]  Miłość.
[01:20:14.300 --> 01:20:16.300]  Syn.
[01:20:16.300 --> 01:20:18.300]  Son.
[01:20:18.300 --> 01:20:20.300]  I to jest mój pierwszy syn.
[01:20:20.300 --> 01:20:22.300]  This is my first son.
[01:20:22.300 --> 01:20:24.300]  Piszemy pierwszy. Maskulin.
[01:20:36.300 --> 01:20:40.300]  Tydzień.
[01:20:40.300 --> 01:20:42.300]  Tydzień.
[01:20:42.300 --> 01:20:44.300]  Tydzień.
[01:20:44.300 --> 01:20:46.300]  Pierwszy dzień.
[01:20:46.300 --> 01:20:48.300]  Pierwszy tydzień.
[01:20:48.300 --> 01:20:50.300]  This is masculine, so we take this first form.
[01:20:50.300 --> 01:20:52.300]  Pierwszy.
[01:20:52.300 --> 01:20:54.300]  Pierwszy tydzień.
[01:20:54.300 --> 01:20:56.300]  First week.
[01:20:56.300 --> 01:20:58.300]  It means first week.
[01:20:58.300 --> 01:21:00.300]  Dzień.
[01:21:00.300 --> 01:21:02.300]  Dzień.
[01:21:02.300 --> 01:21:04.300]  What we take for dzień?
[01:21:04.300 --> 01:21:06.300]  Dzień.
[01:21:06.300 --> 01:21:08.300]  Pierwszy.
[01:21:08.300 --> 01:21:10.300]  Pierwszy.
[01:21:10.300 --> 01:21:12.300]  Pierwszy.
[01:21:12.300 --> 01:21:14.300]  Masculin, so pierwszy rok.
[01:21:14.300 --> 01:21:16.300]  The first year in Poland.
[01:21:16.300 --> 01:21:18.300]  This is my first year in Poland.
[01:21:18.300 --> 01:21:20.300]  To jest mój pierwszy rok w Polsce.
[01:21:20.300 --> 01:21:22.300]  Piętro.
[01:21:22.300 --> 01:21:24.300]  Pierwszy.
[01:21:24.300 --> 01:21:26.300]  Pierwszy.
[01:21:26.300 --> 01:21:28.300]  Pierwszy.
[01:21:28.300 --> 01:21:30.300]  Pierwszy.
[01:21:30.300 --> 01:21:32.300]  Pierwszy.
[01:21:32.300 --> 01:21:34.300]  Dziecko.
[01:21:34.300 --> 01:21:36.300]  Pierwszy.
[01:21:36.300 --> 01:21:38.300]  Pierwszy.
[01:21:38.300 --> 01:21:40.300]  Pierwszy.
[01:21:40.300 --> 01:21:42.300]  Miejsce.
[01:21:42.300 --> 01:21:44.300]  Miejsce is place.
[01:21:44.300 --> 01:21:46.300]  To jest miejsce.
[01:21:46.300 --> 01:21:48.300]  Pierwsze miejsce.
[01:21:48.300 --> 01:21:54.300]  Also if we have competition is the first place.
[01:21:54.300 --> 01:21:56.300]  To first place.
[01:21:56.300 --> 01:21:58.300]  You are the first.
[01:21:58.300 --> 01:22:00.300]  I danie. Dish.
[01:22:00.300 --> 01:22:02.300]  Pierwsze danie.
[01:22:02.300 --> 01:22:04.300]  Pierwsze danie.
[01:22:04.300 --> 01:22:06.300]  To jest pierwsze danie.
[01:22:06.300 --> 01:22:12.300]  I teraz jeszcze raz sobie naruszamy pytanie.
[01:22:20.300 --> 01:22:22.300]  Który.
[01:22:22.300 --> 01:22:24.300]  Mejrere.
[01:22:24.300 --> 01:22:26.300]  Każdy.
[01:22:26.300 --> 01:22:28.300]  Przyjrzyj się.
[01:22:28.300 --> 01:22:30.300]  Czycień nie ma.
[01:22:30.300 --> 01:22:32.300]  Wprochen.
[01:22:32.300 --> 01:22:34.380]  Który dzień?
[01:22:34.380 --> 01:22:36.380]  Dzień?
[01:22:36.380 --> 01:22:38.380]  Która godzina?
[01:22:44.380 --> 01:22:46.380]  Które piętro?
[01:22:46.380 --> 01:22:48.300]  Piętro?
[01:22:48.300 --> 01:22:50.300]  Piętro?
[01:22:50.300 --> 01:22:57.300]  Które piętro? Czyli dzisiaj który jest dzień? Dzisiaj który dzień?
[01:22:57.300 --> 01:23:00.300]  Drugi dzień.
[01:23:00.300 --> 01:23:06.300]  Drugi dzień. Aha, ok, the week. Super. A w kalendarzu?
[01:23:06.300 --> 01:23:10.300]  Czternaście?
[01:23:10.300 --> 01:23:13.300]  Tak, czternasty.
[01:23:13.300 --> 01:23:14.300]  Czternasty.
[01:23:14.300 --> 01:23:16.300]  Tak, dzisiaj jest czternasty, jasne.
[01:23:16.300 --> 01:23:20.300]  A w tym sensie, który jest dzisiaj dzień?
[01:23:20.300 --> 01:23:23.300]  W kalendarzu. Jutro jest który dzień?
[01:23:23.300 --> 01:23:24.300]  Jutro, który dzień?
[01:23:24.300 --> 01:23:25.300]  Piętnasty.
[01:23:25.300 --> 01:23:33.300]  Piętnasty, tak. Jutro jest piętnasty. Dzisiaj jest czternasty. Wczoraj? Który dzień wczoraj?
[01:23:33.300 --> 01:23:34.300]  Trzynasty.
[01:23:34.300 --> 01:23:41.300]  Trzynasty, mhm. Wczoraj trzynasty. Która jest godzina teraz? Która jest godzina?
[01:23:41.300 --> 01:23:45.300]  Dziesiąte pięćdziesiąt pięć.
[01:23:45.300 --> 01:23:47.300]  I teraz uwaga, która?
[01:23:47.300 --> 01:23:49.300]  Dziesiąta pięćdziesiąt pięć.
[01:23:49.300 --> 01:23:50.300]  Super.
[01:23:50.300 --> 01:23:52.300]  Dziesiąta pięćdziesiąt pięć.
[01:23:52.300 --> 01:24:02.300]  So, for the, czyli, która jest godzina? Która godzina jest dziesiąta?
[01:24:02.300 --> 01:24:05.300]  Mhm.
[01:24:05.300 --> 01:24:15.300]  Here we have ordinal number, dziesiąta, and minutes, cardinal number, basic, pięćdziesiąt pięć.
[01:24:15.300 --> 01:24:16.300]  Mhm.
[01:24:20.300 --> 01:24:25.300]  Pięćdziesiąt pięć.
[01:24:25.300 --> 01:24:32.300]  Jest dziesiąta pięćdziesiąt pięć.
[01:24:32.300 --> 01:24:35.300]  Dziesiąta pięćdziesiąt pięć.
[01:24:35.300 --> 01:24:37.300]  Tak, dziesiąta pięćdziesiąt pięć.
[01:24:37.300 --> 01:24:38.300]  Mhm.
[01:24:38.300 --> 01:24:40.300]  Teraz dziesiąta pięćdziesiąt pięć.
[01:24:40.300 --> 01:24:41.300]  Mhm.
[01:24:41.300 --> 01:24:49.300]  No to teraz powiedzcie mi, jaka to jest godzina, to. Która godzina?
[01:24:49.300 --> 01:24:50.300]  Jedenasta pięć.
[01:24:50.300 --> 01:24:51.300]  Jedenasta pięć.
[01:24:51.300 --> 01:24:52.300]  Jedenasta pięć.
[01:24:52.300 --> 01:24:53.300]  Już, już.
[01:24:53.300 --> 01:24:54.300]  Jedenasta pięć.
[01:24:54.300 --> 01:24:55.300]  Już.
[01:24:55.300 --> 01:24:57.300]  Super. To powiedzcie, która jest godzina?
[01:24:57.300 --> 01:24:59.300]  No już, już, już.
[01:24:59.300 --> 01:25:00.300]  A, a, a.
[01:25:00.300 --> 01:25:01.300]  Tak.
[01:25:01.300 --> 01:25:02.300]  Tak.
[01:25:02.300 --> 01:25:03.300]  Tak.
[01:25:03.300 --> 01:25:09.420]  No П dissertation Why
[01:25:09.420 --> 01:25:24.080]  i
[01:25:32.680 --> 01:25:33.260]  descript.
[01:25:33.260 --> 01:25:40.260]  21.15. A jeżeli to będzie takie coś, to?
[01:25:40.260 --> 01:25:49.260]  3.45.
[01:25:49.260 --> 01:25:57.260]  A jeżeli będzie... która jest godzina?
[01:25:57.260 --> 01:26:00.260]  7.20.
[01:26:00.260 --> 01:26:02.260]  Super. 7.20.
[01:26:02.260 --> 01:26:05.260]  Która jest godzina teraz?
[01:26:05.260 --> 01:26:12.260]  11.11.
[01:26:12.260 --> 01:26:15.260]  Koniec. Nie.
[01:26:15.260 --> 01:26:17.260]  11.
[01:26:17.260 --> 01:26:20.260]  Nieprecyzyjnie. Brakuje sekundy.
[01:26:20.260 --> 01:26:26.260]  10.59.
[01:26:26.260 --> 01:26:31.260]  Panowie informatycy tu ustalili nam czas.
[01:26:31.260 --> 01:26:32.260]  Dziękuję.
[01:26:32.260 --> 01:26:34.260]  Koniec. Dziękuję bardzo.
[01:26:34.260 --> 01:26:36.260]  Dziękuję bardzo.
[01:26:36.260 --> 01:26:42.260]  Już znacie godziny która, które, który.
[01:26:42.260 --> 01:26:44.260]  Dobrze?
[01:26:44.260 --> 01:26:51.260]  Dobrze. Dziękuję.
