"C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Scripts\python.exe" "C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\transcribe.py"
C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Lib\site-packages\whisper\transcribe.py:132: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:02.000]  Ja mam ten.
[01:04:02.900 --> 01:04:04.900]  Bo znamy.
[01:04:04.900 --> 01:04:06.900]  Jaki jest kontekst? Jak... jak ja...
[01:04:06.900 --> 01:04:08.900]  5 złotych.
[01:04:08.900 --> 01:04:10.900]  Zmienię.
[01:04:10.900 --> 01:04:12.900]  O, to jest dopilniacz, prawda?
[01:04:12.900 --> 01:04:14.900]  Oczywiście.
[01:04:14.900 --> 01:04:16.900]  Więc to jest zupełnie inny sposób i inny tenik.
[01:04:18.900 --> 01:04:20.900]  To jest dobre pytanie.
[01:04:20.900 --> 01:04:22.900]  Ale znalazliśmy to? Złoty?
[01:04:22.900 --> 01:04:24.900]  Tak, znalazliśmy dopilniacz.
[01:04:24.900 --> 01:04:26.900]  Ale to jest dopilniacz w Indiach?
[01:04:26.900 --> 01:04:28.900]  Tak.
[01:04:28.900 --> 01:04:30.900]  Nie, to jest w Indiach, w Indiach, w Indiach, w Indiach.
[01:04:30.900 --> 01:04:32.900]  W Indiach, w Indiach, w Indiach.
[01:04:32.900 --> 01:04:34.900]  Żebyśmy mieli, na przykład tutaj.
[01:04:34.900 --> 01:04:36.900]  Wszystkie rzeczy.
[01:04:36.900 --> 01:04:38.900]  Tak.
[01:04:38.900 --> 01:04:40.900]  Jak Fudelko, Treko,
[01:04:40.900 --> 01:04:42.900]  PH, Treko,
[01:04:42.900 --> 01:04:44.900]  to jest to samo.
[01:04:44.900 --> 01:04:46.900]  Oh, nie.
[01:04:46.900 --> 01:04:48.900]  Nie, nie, nie.
[01:04:48.900 --> 01:04:50.900]  Może, ponieważ jesteśmy już tutaj, może mogę spytać pytanie?
[01:04:50.900 --> 01:04:52.900]  Więc to może być bardzo głupie, ale...
[01:04:52.900 --> 01:04:54.900]  Co jest tak wyjątkowe o numerze 5?
[01:04:54.900 --> 01:05:00.900]  Kiedy widzę, że zawsze mówią, że poniżej 5
[01:05:00.900 --> 01:05:02.900]  to się zmienia w inne prawo,
[01:05:02.900 --> 01:05:04.900]  a poniżej 5 to jest coś innego,
[01:05:04.900 --> 01:05:06.900]  jak wiek, albo coś.
[01:05:06.900 --> 01:05:08.900]  Co jest tak wyjątkowe o 5?
[01:05:08.900 --> 01:05:10.900]  Nie wiem.
[01:05:10.900 --> 01:05:12.900]  Ale to nie jest prawo.
[01:05:12.900 --> 01:05:14.900]  Tak.
[01:05:14.900 --> 01:05:16.900]  Tak, poniżej 5 to powinno być dopilniacz,
[01:05:16.900 --> 01:05:18.900]  ale poniżej 5 to może być coś.
[01:05:18.900 --> 01:05:20.900]  Nie, nic.
[01:05:20.900 --> 01:05:22.900]  Nie. Ok.
[01:05:24.900 --> 01:05:26.900]  Więc myślę, że
[01:05:26.900 --> 01:05:28.900]  to już wyjaśnię.
[01:05:28.900 --> 01:05:30.900]  Tak, to już wyjaśnię.
[01:05:30.900 --> 01:05:32.900]  Tak.
[01:05:32.900 --> 01:05:34.900]  Tak.
[01:05:34.900 --> 01:05:36.900]  No, to dobrze.
[01:05:36.900 --> 01:05:38.900]  Ok.
[01:05:38.900 --> 01:05:40.900]  Więc.
[01:05:40.900 --> 01:05:42.900]  Zróbmy to tak.
[01:05:42.900 --> 01:05:44.900]  Mhm.
[01:05:52.900 --> 01:05:54.900]  Ok.
[01:05:54.900 --> 01:05:56.900]  Powiedzieć, ile ktoś ma lat.
[01:05:56.900 --> 01:06:00.900]  How old is someone?
[01:06:00.900 --> 01:06:02.900]  To dziecko,
[01:06:02.900 --> 01:06:04.900]  this baby, is one year old.
[01:06:04.900 --> 01:06:06.900]  Ma jeden rok.
[01:06:06.900 --> 01:06:08.900]  Jeden rok.
[01:06:08.900 --> 01:06:10.900]  To dziecko jest większe.
[01:06:10.900 --> 01:06:12.900]  Ma cztery?
[01:06:12.900 --> 01:06:14.900]  Lata.
[01:06:14.900 --> 01:06:16.900]  Lata. Ok.
[01:06:16.900 --> 01:06:18.900]  A to dziecko jest jeszcze większe.
[01:06:18.900 --> 01:06:20.900]  Ma?
[01:06:20.900 --> 01:06:22.900]  Lata.
[01:06:22.900 --> 01:06:24.900]  Ok.
[01:06:24.900 --> 01:06:26.900]  Yyy.
[01:06:28.900 --> 01:06:30.900]  To jest to co ja nie wiem.
[01:06:38.900 --> 01:06:40.900]  To co to pojęte.
[01:06:40.900 --> 01:06:42.900]  Ehm...
[01:06:48.900 --> 01:06:50.900]  Ok.
[01:06:50.900 --> 01:06:52.900]  Może to ma za decydowanie...
[01:06:52.900 --> 01:06:54.900]  Jak to się nazywa?
[01:06:54.900 --> 01:06:56.900]  Latka
[01:06:56.900 --> 01:06:58.900]  Lidzio w noga, oczywiście
[01:07:02.900 --> 01:07:04.900]  Ok, powiedzmy to
[01:07:04.900 --> 01:07:06.900]  Janownik to konieczny
[01:07:06.900 --> 01:07:08.900]  Nie wiem dlaczego 5 i 4
[01:07:08.900 --> 01:07:10.900]  Złoty to będzie
[01:07:10.900 --> 01:07:12.900]  Złoty to będzie
[01:07:12.900 --> 01:07:14.900]  Złoty to będzie
[01:07:14.900 --> 01:07:16.900]  Złoty to będzie
[01:07:16.900 --> 01:07:18.900]  Nie, nie, nie
[01:07:18.900 --> 01:07:20.900]  Tak
[01:07:20.900 --> 01:07:22.900]  Więc
[01:07:22.900 --> 01:07:24.900]  Jeden
[01:07:24.900 --> 01:07:26.900]  Złoty
[01:07:26.900 --> 01:07:28.900]  Dwa, trzy, cztery
[01:07:30.900 --> 01:07:32.900]  Włodę
[01:07:32.900 --> 01:07:34.900]  Złota
[01:07:34.900 --> 01:07:36.900]  To jest ty
[01:07:36.900 --> 01:07:38.900]  Pięć, sześć
[01:07:38.900 --> 01:07:40.900]  Siedem
[01:07:40.900 --> 01:07:42.900]  Złoty
[01:07:44.900 --> 01:07:46.900]  I to jest takie
[01:07:46.900 --> 01:07:48.900]  Super pytanie, ale dlaczego
[01:07:48.900 --> 01:07:50.900]  To nie jest dla adjektywów?
[01:07:50.900 --> 01:07:52.900]  Nie
[01:07:52.900 --> 01:07:54.900]  To nie jest dla adjektywów?
[01:07:54.900 --> 01:07:56.900]  Jak dla
[01:07:56.900 --> 01:07:58.900]  Psz... psz... psz... pszniatnik?
[01:07:58.900 --> 01:08:00.900]  Nie
[01:08:00.900 --> 01:08:02.900]  Więc jest to podkreślone jako pszniatnik?
[01:08:02.900 --> 01:08:04.900]  Nie
[01:08:04.900 --> 01:08:06.900]  Bo
[01:08:06.900 --> 01:08:08.900]  Tak, na początku to było pszniatnik
[01:08:08.900 --> 01:08:10.900]  Bo
[01:08:10.900 --> 01:08:12.900]  Co to było?
[01:08:12.900 --> 01:08:14.900]  Kolejna była z złota
[01:08:14.900 --> 01:08:16.900]  Tak, z złota
[01:08:16.900 --> 01:08:18.900]  To jest kolejna?
[01:08:18.900 --> 01:08:20.900]  To jest podkreślenie jakiego rodzaju kłopotu
[01:08:20.900 --> 01:08:22.900]  Tak, to jest podkreślenie jakiego rodzaju kłopotu
[01:08:22.900 --> 01:08:24.900]  To jest złota
[01:08:24.900 --> 01:08:26.900]  Ale na początku to było pszniatnik
[01:08:26.900 --> 01:08:28.900]  Ok
[01:08:28.900 --> 01:08:30.900]  Kolejna pytanie
[01:08:30.900 --> 01:08:32.900]  Ok, to jest tak, że to ma sens, ale co to jest z złota?
[01:08:32.900 --> 01:08:34.900]  Lata i...
[01:08:34.900 --> 01:08:36.900]  Co?
[01:08:36.900 --> 01:08:38.900]  Co to jest z klocka, złota i złota?
[01:08:38.900 --> 01:08:40.900]  Kto to jest?
[01:08:40.900 --> 01:08:42.900]  Nie, co jest z nich? Co to jest?
[01:08:44.900 --> 01:08:46.900]  Pięć to jest takie zrównoważone
[01:08:46.900 --> 01:08:48.900]  Nie wiem
[01:08:48.900 --> 01:08:50.900]  Ale dlaczego? To jest tylko żeby zaskoczyć ludzi
[01:08:50.900 --> 01:08:52.900]  Czy chcesz coś powiedzieć?
[01:08:52.900 --> 01:08:54.900]  Czy chcesz coś powiedzieć?
[01:08:54.900 --> 01:08:56.900]  Tutaj są 20 zasad, które musisz znać najpierw
[01:08:56.900 --> 01:08:58.900]  Tutaj są 20 zasad, które musisz znać najpierw
[01:08:58.900 --> 01:09:00.900]  To jest bardzo normalna
[01:09:00.900 --> 01:09:02.900]  To jest bardzo normalna
[01:09:02.900 --> 01:09:04.900]  Szczerze mówiąc nie wiem
[01:09:04.900 --> 01:09:06.900]  Nie wiem dlaczego
[01:09:06.900 --> 01:09:08.900]  Ale wiem, że to działa w dwóch innych językach
[01:09:08.900 --> 01:09:10.900]  Ale wiem, że to działa w dwóch innych językach
[01:09:10.900 --> 01:09:12.900]  Może w wszystkich językach
[01:09:12.900 --> 01:09:14.900]  Może nie w każdym
[01:09:14.900 --> 01:09:16.900]  Nie wiem
[01:09:16.900 --> 01:09:18.900]  Ale to jest bardzo ważne
[01:09:18.900 --> 01:09:20.900]  1, 2, 3, 4 są ważne
[01:09:20.900 --> 01:09:22.900]  5
[01:09:22.900 --> 01:09:24.900]  Ale do 6 rozumiem
[01:09:24.900 --> 01:09:26.900]  Ale do 6 rozumiem
[01:09:26.900 --> 01:09:28.900]  Musisz mieć dwa ręki, żeby powiedzieć 6
[01:09:28.900 --> 01:09:30.900]  5 było największym numerem, o którym ktoś jeszcze nie myślał
[01:09:30.900 --> 01:09:32.900]  5 było największym numerem, o którym ktoś jeszcze nie myślał
[01:09:32.900 --> 01:09:34.900]  5 to jest największe
[01:09:34.900 --> 01:09:36.900]  5 to jest największe
[01:09:36.900 --> 01:09:38.900]  I to jest...
[01:09:38.900 --> 01:09:40.900]  Nikt nie jest młodszy niż 5
[01:09:40.900 --> 01:09:42.900]  Nikt nie jest młodszy niż 5
[01:09:42.900 --> 01:09:44.900]  Więc nikt nie jest młodszy niż 5
[01:09:44.900 --> 01:09:46.900]  I kiedy ktoś się stał 6, ludzie mówili
[01:09:46.900 --> 01:09:48.900]  O mój Boże
[01:09:48.900 --> 01:09:50.900]  5 to jest dużo
[01:09:50.900 --> 01:09:52.900]  5 to jest dużo
[01:09:52.900 --> 01:09:54.900]  To jest...
[01:09:54.900 --> 01:09:56.900]  To jest z lat laty
[01:09:56.900 --> 01:09:58.900]  Tak, prawda
[01:09:58.900 --> 01:10:04.900]  Więc 20, 22, 24 i coś innego
[01:10:04.900 --> 01:10:06.900]  To jest ten punkt
[01:10:06.900 --> 01:10:08.900]  Tak, tak
[01:10:08.900 --> 01:10:10.900]  To jest ten punkt
[01:10:10.900 --> 01:10:14.900]  Więc kiedy chcesz powiedzieć, że ktoś jest 22
[01:10:14.900 --> 01:10:16.900]  Tak, tak
[01:10:16.900 --> 01:10:18.900]  A on ma 22 lata
[01:10:18.900 --> 01:10:20.900]  A on ma 22 lata
[01:10:20.900 --> 01:10:22.900]  A on ma...
[01:10:22.900 --> 01:10:24.900]  36 lat
[01:10:24.900 --> 01:10:26.900]  A on ma...
[01:10:26.900 --> 01:10:28.900]  72 lata
[01:10:28.900 --> 01:10:30.900]  A on ma...
[01:10:30.900 --> 01:10:32.900]  72 lata
[01:10:32.900 --> 01:10:34.900]  I zakres
[01:10:34.900 --> 01:10:36.900]  I zakres
[01:10:36.900 --> 01:10:38.900]  I zakres
[01:10:38.900 --> 01:10:40.900]  Czy wrócę do roku?
[01:10:40.900 --> 01:10:42.900]  Nie, nie
[01:10:42.900 --> 01:10:44.900]  Rok zawsze jest 1
[01:10:44.900 --> 01:10:46.900]  Rok zawsze jest 1
[01:10:46.900 --> 01:10:48.900]  Nie, ale...
[01:10:48.900 --> 01:10:50.900]  Ale 12 jest inny, myślę
[01:10:50.900 --> 01:10:52.900]  12 ma inny ruch
[01:10:52.900 --> 01:10:54.900]  Nie mówisz...
[01:10:54.900 --> 01:10:56.900]  Dwa...
[01:10:56.900 --> 01:10:58.900]  Dwaj...
[01:10:58.900 --> 01:11:00.900]  Dwaj...
[01:11:00.900 --> 01:11:02.900]  Dwaj...
[01:11:02.900 --> 01:11:04.900]  Dwaj...
[01:11:04.900 --> 01:11:06.900]  Dwaj...
[01:11:06.900 --> 01:11:08.900]  Dwaj...
[01:11:08.900 --> 01:11:10.900]  Dwaj...
[01:11:10.900 --> 01:11:12.900]  Dwaj...
[01:11:12.900 --> 01:11:14.900]  Dwaj...
[01:11:14.900 --> 01:11:16.900]  Dwaj...
[01:11:16.900 --> 01:11:18.900]  Dwaj... Dwaj...
[01:11:18.900 --> 01:11:20.900]  Dwaj...
[01:11:24.900 --> 01:11:43.700]  Dwaj... Dwaj... Dwa... Dwa... Dwa... Dwa... Dwa... Dwaj... Dwaj... Dwa... Berlin tourists mi 6, attitudes war辛苦 rabbit
[01:11:44.900 --> 01:12:01.140]  Nie, w książce wszystko od 5 do 21 lat.
[01:12:01.140 --> 01:12:05.140]  Więc to jest 11 lat, nie lata.
[01:12:31.140 --> 01:12:52.140]  35, 26 lat, 31 lat, 32 lata, 33 lata, 34 lata, 35, 36 lat.
[01:12:52.140 --> 01:12:58.140]  Więc jeśli to kończy się w boksa, w szkieletce, to kończy się w boksa, w zasadzie.
[01:12:58.140 --> 01:13:01.140]  Bo wszystkie te kończenia w boksa...
[01:13:01.140 --> 01:13:05.140]  Ale nie to.
[01:13:05.140 --> 01:13:10.140]  Tak, ale te nie kończą się w boksa, bo to jest 12 lat.
[01:13:10.140 --> 01:13:14.140]  Zgadza się.
[01:13:14.140 --> 01:13:15.140]  Zgadza się?
[01:13:15.140 --> 01:13:24.140]  Zgadza się, myślisz, że te dwa, trzy i cztery, one zawsze są połączone przez lata, tak jak wkrótce.
[01:13:24.140 --> 01:13:30.140]  Więc jeśli to jest pięćdziesięć, dwa, musisz powiedzieć lata,
[01:13:30.140 --> 01:13:31.140]  bo to jest to, co masz na głowie.
[01:13:31.140 --> 01:13:33.140]  Tak, to jest to, co masz na głowie, po raz kolejny, dwa.
[01:13:33.140 --> 01:13:34.140]  Tak, ale jeśli mówisz...
[01:13:34.140 --> 01:13:35.140]  Ok, rozumiem, co mówisz.
[01:13:35.140 --> 01:13:36.140]  Tak, ale jeśli mówisz dwa...
[01:13:36.140 --> 01:13:37.140]  Tak, tak, ale jeśli mówisz dwa...
[01:13:37.140 --> 01:13:40.140]  Ale jedynaścze nie jest jak jedynaścze dwa, czy...
[01:13:40.140 --> 01:13:45.140]  Ale dzwanaszcze to jest w początku słowa, więc nie od razu, więc nie...
[01:13:45.140 --> 01:13:47.140]  Tak, mogę zobaczyć twoją punktę.
[01:13:47.140 --> 01:13:48.140]  Tak, mogę zobaczyć.
[01:13:48.140 --> 01:13:49.140]  Tak, tak, tak.
[01:13:49.140 --> 01:13:55.140]  Ale dlaczego 21, dlaczego 22 staje się...
[01:13:55.140 --> 01:13:59.140]  22 staje się lata. 21 to lata, bo...
[01:13:59.140 --> 01:14:00.140]  Jedyna...
[01:14:00.140 --> 01:14:01.140]  Nie wiem, bo lata to...
[01:14:01.140 --> 01:14:04.140]  Dwa dziesięć, jeden to lata, to jest lata.
[01:14:04.140 --> 01:14:08.140]  Dwa dziesięć, jeden lata? Nie wiem, nie brzmi to dziwne dla polskich...
[01:14:08.140 --> 01:14:09.140]  Bo nie zacznie się od razu.
[01:14:09.140 --> 01:14:17.140]  Dla polskich słów nie brzmi to dziwne, że jest jeden lata, ale brzmi to dziwne, że jest dwadzieścia lata, myślę.
[01:14:17.140 --> 01:14:18.140]  Kto stworzył język?
[01:14:18.140 --> 01:14:23.140]  Wydaj ten człowiek w tym kamieniu i pozwól mu wyjaśnić jego logikę.
[01:14:23.140 --> 01:14:24.140]  Nie, nie, nie.
[01:14:24.140 --> 01:14:25.140]  Nie, nie.
[01:14:25.140 --> 01:14:26.140]  Nie, nie.
[01:14:26.140 --> 01:14:27.140]  Sto...
[01:14:27.140 --> 01:14:28.140]  Sto jeden?
[01:14:28.140 --> 01:14:29.140]  Sto jeden?
[01:14:29.140 --> 01:14:30.140]  Sto jeden Lat?
[01:14:30.140 --> 01:14:31.140]  Sto jeden lat.
[01:14:31.140 --> 01:14:32.500]  Sto jeden Lat?
[01:14:32.500 --> 01:14:33.140]  Dobrze.
[01:14:33.140 --> 01:14:34.540]  Proszę.
[01:14:34.540 --> 01:14:39.140]  Proszę krzycze unconscious sapien area to walga us yeah.
[01:14:39.140 --> 01:14:41.380]  Zrób to cie Deliciousinya.
[01:14:41.380 --> 01:14:43.140]  To już trzeba pamiętać 3-4 barów takiej.
[01:14:43.140 --> 01:14:44.140]  Tak.
[01:14:44.140 --> 01:14:45.140]  Dobrze.
[01:14:45.140 --> 01:14:47.140]  No obraz Evet.
[01:14:47.140 --> 01:14:48.140]  Sto jeszcze Stewie.
[01:14:48.140 --> 01:14:49.140]  Smacznego.
[01:14:49.140 --> 01:14:50.140]  Weil pouco, disms.
[01:14:50.140 --> 01:14:57.140] 5
[01:14:59.140 --> 01:15:01.140]  No, niedobrze.
[01:15:04.640 --> 01:15:07.640]  Dobra, to zrobimy jeszcze teraz tak, na koniec.
[01:15:18.640 --> 01:15:20.640]  Dobra, zadanie piąte.
[01:15:20.640 --> 01:15:22.640]  Spróbujmy posłuchać.
[01:15:23.640 --> 01:15:25.640]  Zdawamy po ramach.
[01:15:26.640 --> 01:15:27.640]  Dobra.
[01:15:27.640 --> 01:15:30.640]  Czy wiemy, co to jest akcent?
[01:15:36.640 --> 01:15:44.640]  Tutaj napisano pierwszą chyba i trzecią lnikę.
[01:15:46.640 --> 01:15:52.640]  Czyli tak, mamy w tej ramce podzielone słowo na sylaby.
[01:15:52.640 --> 01:15:54.640]  Ok, to jest...
[01:15:54.640 --> 01:15:56.640]  ...tych.
[01:15:56.640 --> 01:15:57.640]  Jak to?
[01:15:57.640 --> 01:16:00.640]  Mamy te słowa, ale podzielone w zależności od słów.
[01:16:01.640 --> 01:16:04.640]  Na przykład, no, gni, śm.
[01:16:05.640 --> 01:16:06.640]  Ok.
[01:16:06.640 --> 01:16:07.640]  I teraz tak.
[01:16:07.640 --> 01:16:08.640]  Jaki jest problem?
[01:16:08.640 --> 01:16:22.640]  Problem jest, że w dłuższym słowie, musimy być bardziej skupieni na tym, gdzie włożyć akcent.
[01:16:23.640 --> 01:16:24.640]  Dobra?
[01:16:24.640 --> 01:16:26.640]  I teraz tak.
[01:16:27.640 --> 01:16:29.640]  Spróbujemy posłuchać.
[01:16:29.640 --> 01:16:30.640]  Zobaczymy.
[01:16:31.640 --> 01:16:36.640]  Proszę usłyszeć, na którą sylabę pada akcent.
[01:16:36.640 --> 01:16:37.640]  So, is this in?
[01:16:37.640 --> 01:16:38.640]  Maybe.
[01:16:38.640 --> 01:16:41.640]  Which syllable leads to accent?
[01:16:42.640 --> 01:16:43.640]  Ok?
[01:16:43.640 --> 01:16:44.640]  Rozumiemy?
[01:16:44.640 --> 01:16:45.640]  Mhm.
[01:16:45.640 --> 01:16:46.640]  Dobra.
[01:16:46.640 --> 01:16:48.640]  To próbujemy.
[01:16:53.640 --> 01:16:54.640]  Dziesięciusiąta ćwiczenie.
[01:16:54.640 --> 01:16:55.640]  Cztery.
[01:16:55.640 --> 01:16:56.640]  A.
[01:16:57.640 --> 01:16:59.640]  Mogliśmy.
[01:16:59.640 --> 01:17:01.640]  Robiliśmy.
[01:17:01.640 --> 01:17:03.640]  Pisaliśmy.
[01:17:03.640 --> 01:17:05.640]  Mówiliśmy.
[01:17:05.640 --> 01:17:09.640]  Rozmawialiśmy.
[01:17:09.640 --> 01:17:11.640]  Mogłyśmy.
[01:17:11.640 --> 01:17:13.640]  Robiłyśmy.
[01:17:13.640 --> 01:17:16.640]  Pisałyśmy.
[01:17:16.640 --> 01:17:18.640]  Mówiłyśmy.
[01:17:18.640 --> 01:17:21.640]  Rozmawiałyśmy.
[01:17:21.640 --> 01:17:24.640]  Mogliście.
[01:17:24.640 --> 01:17:25.640]  Robiliście.
[01:17:25.640 --> 01:17:26.640]  Pisaliśmy.
[01:17:26.640 --> 01:17:45.640]  Pisaliście, mówiliście, rozmawialiście, mogłyście, robiłyście, pisałyście, mówiłyście, rozmawiałyście.
[01:17:47.240 --> 01:17:48.800]  Dobra, jeszcze raz.
[01:17:50.660 --> 01:17:53.640]  Lekcja dziesiąta, ćwiczenie 4a.
[01:17:56.640 --> 01:18:06.620]  Mogliśmy, robiliśmy, pisaliśmy, mówiliśmy, rozmawialiśmy.
[01:18:06.620 --> 01:18:19.100]  Mogłyśmy, robiłyśmy, pisałyśmy, mówiłyśmy, rozmawiałyśmy.
[01:18:19.100 --> 01:18:26.100]  Mogłyście, robiliście, pisaliście.
[01:18:26.640 --> 01:18:43.640]  Mogłyście, mówiliście, rozmawialiście, mogłyście, robiłyście, pisałyście, mówiłyście, rozmawiałyście.
[01:18:45.580 --> 01:18:45.840]  Ok.
[01:18:48.400 --> 01:18:52.020]  Czy wszystkie słowa rozumiemy?
[01:18:56.640 --> 01:18:58.640]  Może mniej.
[01:19:02.640 --> 01:19:03.640]  Dobra.
[01:19:04.640 --> 01:19:07.640]  Teraz tak, co jest trudne.
[01:19:07.640 --> 01:19:12.640]  W języku polskim sylaby liczymy od końca.
[01:19:12.640 --> 01:19:14.640]  Są wykanty sylabą z drugiego języka.
[01:19:14.640 --> 01:19:21.640]  Czyli 1, 2, 3, 4, 5. Ok?
[01:19:23.640 --> 01:19:25.640]  No to teraz start, spróbujmy.
[01:19:26.640 --> 01:19:28.640]  Mamy tutaj tylko dwie linijki.
[01:19:28.640 --> 01:19:33.640]  To jest linijka chyba pierwsza i chyba linijka trzecia może.
[01:19:33.640 --> 01:19:40.640]  Ale akcent będzie w tym samym miejscu. Ok?
[01:19:40.640 --> 01:19:42.640]  W sensie drugiej i czwartej.
[01:19:42.640 --> 01:19:45.640]  Tak sobie podzielimy.
[01:19:45.640 --> 01:19:46.640]  Pierwsze słowo.
[01:19:46.640 --> 01:19:47.640]  Mogliśmy.
[01:19:47.640 --> 01:19:49.640]  Gdzie będzie akcent?
[01:19:49.640 --> 01:19:50.640]  Tu.
[01:19:50.640 --> 01:19:52.640]  Mhm. Czyli która to jest sylaba?
[01:19:52.640 --> 01:19:53.640]  Trzy.
[01:19:53.640 --> 01:19:54.640]  Mhm.
[01:19:54.640 --> 01:19:55.640]  Trzy.
[01:19:55.640 --> 01:19:56.640]  Ok.
[01:19:56.640 --> 01:19:58.640]  Robiliśmy.
[01:20:01.640 --> 01:20:02.640]  Robi...
[01:20:02.640 --> 01:20:03.640]  Bi.
[01:20:03.640 --> 01:20:06.640]  Aha. Czyli też trzecia. Dobra.
[01:20:06.640 --> 01:20:07.640]  Pisaliśmy.
[01:20:07.640 --> 01:20:08.640]  Ca.
[01:20:08.640 --> 01:20:09.640]  Ca.
[01:20:09.640 --> 01:20:10.640]  Mhm.
[01:20:10.640 --> 01:20:11.640]  Ca.
[01:20:11.640 --> 01:20:12.640]  Tak.
[01:20:12.640 --> 01:20:14.640]  A mówiliśmy.
[01:20:17.640 --> 01:20:19.640]  I zwiłyśmy.
[01:20:20.640 --> 01:20:21.640]  Z wówi...
[01:20:21.640 --> 01:20:22.640]  Mówi...
[01:20:22.640 --> 01:20:23.640]  Mówiliśmy.
[01:20:23.640 --> 01:20:24.640]  Też trzecia.
[01:20:24.640 --> 01:20:25.640]  Mówi...
[01:20:25.640 --> 01:20:26.640]  Z wówi...
[01:20:26.640 --> 01:20:27.640]  Mówiliśmy.
[01:20:27.640 --> 01:20:28.640]  I...
[01:20:28.640 --> 01:20:29.640]  Mówi...
[01:20:29.640 --> 01:20:30.640]  Mówi...
[01:20:30.640 --> 01:20:31.640]  Mówi...
[01:20:31.640 --> 01:20:32.640]  Mówiliśmy.
[01:20:32.640 --> 01:20:33.640]  Rozmawialiśmy.
[01:20:33.640 --> 01:20:34.640]  Rozmawialiśmy.
[01:20:34.640 --> 01:20:35.640]  Ok.
[01:20:35.640 --> 01:20:36.640]  Ja zawsze robię akcent tak.
[01:20:36.640 --> 01:20:37.640]  So that's the way how I...
[01:20:37.640 --> 01:20:38.640]  Rozmawialiśmy.
[01:20:38.640 --> 01:20:39.640]  ...put the accent on.
[01:20:39.640 --> 01:20:40.640]  But you can also I think underline it.
[01:20:40.640 --> 01:20:41.640]  That's much...
[01:20:41.640 --> 01:20:42.640]  Just for me it's very easy.
[01:20:42.640 --> 01:20:43.640]  Ok.
[01:20:43.640 --> 01:20:44.640]  Well.
[01:20:44.640 --> 01:20:45.640]  When I was listening to her I almost thought she was saying a.
[01:20:45.640 --> 01:20:46.640]  Rozmawialiśmy.
[01:20:46.640 --> 01:20:47.640]  I kind of almost heard her say...
[01:20:47.640 --> 01:20:48.640]  Pronouncing the a with an accent.
[01:20:48.640 --> 01:20:49.640]  Ok.
[01:20:49.640 --> 01:20:50.640]  Ok.
[01:20:50.640 --> 01:20:51.640]  No.
[01:20:51.640 --> 01:20:52.640]  No.
[01:20:52.640 --> 01:20:53.640]  No.
[01:20:53.640 --> 01:20:54.640]  No.
[01:20:54.640 --> 01:20:55.640]  No.
[01:20:55.640 --> 01:20:56.640]  No.
[01:20:56.640 --> 01:20:57.640]  No.
[01:20:57.640 --> 01:20:58.640]  I my saved k.
[01:20:58.640 --> 01:20:59.640]  An act ujeda akcent.
[01:20:59.640 --> 01:21:00.640]  Rozmawialiśmy.
[01:21:00.640 --> 01:21:01.640]  But ne maybe it's just my ears like.
[01:21:01.640 --> 01:21:02.640]  A tak.
[01:21:02.640 --> 01:21:03.640]  Tak.
[01:21:03.640 --> 01:21:04.640]  jacék n połowie.
[01:21:04.640 --> 01:21:05.640]  Rozmawialiśmy.
[01:21:05.640 --> 01:21:06.640]  decidę sobie chciała zobaczyć z drugiego.
[01:21:06.640 --> 01:21:07.640]  Rozmawialiśmy.
[01:21:07.640 --> 01:21:08.640]  Rozmawialiśmy.
[01:21:08.640 --> 01:21:09.640]  Czy też pierwsza.
[01:21:09.640 --> 01:21:10.640]  Trzecie.
[01:21:10.640 --> 01:21:11.640]  Trzecie.
[01:21:11.640 --> 01:21:12.640]  Czes, trzecie.
[01:21:12.640 --> 01:21:13.640]  Dobra.
[01:21:13.640 --> 01:21:14.640]  No i zobaczmy tą m lowę.
[01:21:14.640 --> 01:21:15.640]  To będzie akcent.
[01:21:15.640 --> 01:21:16.640]  Widzisz jak używanie.
[01:21:16.640 --> 01:21:17.640]  Nie根?
[01:21:17.640 --> 01:21:18.640]  Nie.
[01:21:18.640 --> 01:21:19.640]  Nie.
[01:21:19.640 --> 01:21:20.640]  Było.
[01:21:20.640 --> 01:21:21.640]  Nie.
[01:21:21.640 --> 01:21:22.640]  A...
[01:21:22.640 --> 01:21:23.640]  Myst.
[01:21:23.640 --> 01:21:24.640]  Ale miejsce Cam皆さん forest?
[01:21:24.640 --> 01:21:26.640]  No?
[01:21:26.640 --> 01:21:28.640]  Mogłyś?
[01:21:28.640 --> 01:21:30.640]  Która sława?
[01:21:30.640 --> 01:21:32.640]  Mogliś.
[01:21:32.640 --> 01:21:34.640]  Pierwsza, druga czy trzecia?
[01:21:44.640 --> 01:21:46.640]  Przódkiem, przódkiem, pierwszą.
[01:21:46.640 --> 01:21:48.640]  Mogliś.
[01:21:50.640 --> 01:21:52.640]  Dobra. Tu?
